qid,category,l2_category,question_en,options,answer_type,question_kr
1411,science & technology,geography & earth science & agriculture,"Which label indicates the earth's gravitational pull on the moon?
 ","A: D, B: A, C: B, D: E A: 디, B: 에이, C: 비, D: 이",choice,달에 작용하는 지구의 중력을 가리키는 표시는 무엇입니까?
669,instance reasoning,single-instance reasoning,"Which is right?
 ","A: The orange is next to the apple, 오렌지는 사과 옆에 있다 B: The apple is on the left, 사과는 왼쪽에 있다 C: The orange is on the right, 오렌지는 오른쪽에 있다 D: All above are not right, 위의 모든 항목은 옳지 않다",choice,다음 중 옳은 것은 무엇입니까?
1214,science & technology,biology & chemistry & physics,"Leaf B is of which plant?
 ","A: Celtis, B: Stem, C: Ulmus, D: Lotus  A: 셀티스, B: 줄기, C: 느릅나무, D: 연꽃",choice,잎 B는 어느 식물의 잎인가요?
1215,science & technology,biology & chemistry & physics,"Letter A in the following diagram represents which stage?
 ","A: attached planula 부착된 플라눌라, B: polyp 폴립, C: ephyra 에피라, D: planula 플라눌라",choice,다음 다이어그램에서 문자 A가 나타내는 단계는 무엇입니까?
248,fine-grained perception,object counting,"How many archways are there in the image?
 ","A: One 하나, B: Four 네, C: Three 세, D: Two 두",choice,이미지 속 아치의 수는 몇 개인가요?
395,fine-grained perception,recognition,"What is the color of the socks detected in the attribute detection of the image?
 ","A: Black 검정, B: Red 빨간색, C: White 흰색, D: Striped 줄무늬",choice,이미지의 속성 탐지에서 탐지된 양말의 색은 무엇입니까?
882,logical reasoning,diagram reasoning,"In the diagram shown, which organism consumes small fish as food?
 "," A: mahi mahi 마히마히, B: large shark 큰상어, C: zooplankton 동물성 플랑크톤, D: mackerel 고등어",choice,제시된 도표에서 작은 물고기를 먹이로 삼는 생물은 무엇입니까?
1327,science & technology,electronics & energy & mechanical eng.,"<image 1>The accompanying sketch shows the schematic arrangement for measuring the thermal conductivity by the guarded hot plate method. Two similar 1 cm thick specimens receive heat from a 6.5 cm by 6.5 cm guard heater. When the power dissipation by the wattmeter was 15 W, the thermocouples inserted at the hot and cold surfaces indicated temperatures as 325 K and 300 K. What is the thermal conductivity of the test specimen material?
 ","A: 0.81 W/m K 0.81 W/m K, B: 0.71 W/m K 0.71 W/m K, C: 0.61 W/m K 0.61 W/m K, D: 0.51 W/m K 0.51 W/m K",choice,"첨부된 도면은 guarded hot plate 방법으로 열전도율을 측정하기 위한 개략적 배열을 보여준다. 두께가 1 cm인 두 유사한 시편이 6.5 cm × 6.5 cm의 가드 히터로부터 열을 받는다. 와트미터의 전력 소모가 15 W일 때, 핫 표면과 냉 표면에 삽입된 열전쌍은 각각 325 K와 300 K의 온도를 나타냈다. 시험 시편 재료의 열전도율은 얼마인가?"
221,fine-grained perception,localization,"Where is the drum located in the image?
 ","A: In the back 뒤쪽에, B: On the left side 왼쪽에, C: On the right side 오른쪽에, D: At the center 중앙에",choice,이미지 속 드럼은 어디에 위치해 있나요?
1367,science & technology,electronics & energy & mechanical eng.,"Which schedule is an equivalent serial schedule for the precendence graph in <image 1>?
 ","A: T3 -> T1 -> T2  (한국어: A: T3 -> T1 -> T2), B: T2 -> T1 -> T3  (한국어: B: T2 -> T1 -> T3), C: T1 -> T2 -> T3  (한국어: C: T1 -> T2 -> T3), D: There are no serial schedules for the graph.  (한국어: 그래프에 대한 직렬 일정이 없다.)",choice,다음 그림 1의 선행 그래프에 대해 어떤 직렬 일정이 동등한가?
711,logical reasoning,code & sequence reasoning,"Which Python code can generate the content of the image?
 ","A: from collections import Counter
 result = Counter('Canada')
 print(result)  'Canada' 문자열에 대해 Counter를 생성하고 그 결과를 출력합니다., B: from collections import Counter
 result = Counter('strawberry')
 print(result)  'strawberry' 문자열에 대해 Counter를 생성하고 그 결과를 출력합니다., C: from collections import Counter
 result = Counter('banana')
 print(result)  'banana' 문자열에 대해 Counter를 생성하고 그 결과를 출력합니다., D: from collections import Counter
 result = Counter('apple')
 print(result)  'apple' 문자열에 대해 Counter를 생성하고 그 결과를 출력합니다.",choice,이미지의 내용을 생성할 수 있는 파이썬 코드는 무엇입니까?
54,coarse perception,image scene and topic,"What is the general theme of this image?
 ","A: Candy buffet 캔디 뷔페, B: Ice cream sundae 아이스크림 선데, C: Yogurt containers 요거트 용기, D: Fruit desserts 과일 디저트",choice,이 이미지의 일반적인 주제는 무엇입니까?
551,instance reasoning,cross-instance relation reasoning,"What can Rosa and Kylie trade to each get what they want?
 ",A: Kylie can trade her almonds for Rosa's tomatoes. 카일리는 자신의 아몬드를 로사의 토마토와 바꿀 수 있다. B: Rosa can trade her tomatoes for Kylie's broccoli. 로사는 자신의 토마토를 카일리의 브로콜리와 바꿀 수 있다. C: Rosa can trade her tomatoes for Kylie's carrots. 로사는 자신의 토마토를 카일리의 당근과 바꿀 수 있다. D: Kylie can trade her broccoli for Rosa's oranges. 카일리는 자신의 브로콜리를 로사의 오렌지와 바꿀 수 있다.,choice,로사와 카일리는 서로 원하는 것을 얻기 위해 무엇을 교환할 수 있을까요?
1178,math,statistical reasoning,"You are asked to compare two options with parameters as given. The risk-free interest rate should be assumed to be 6%. Assume the stocks on which these options are written pay no dividends. <image 1> Which put option must be written on the stock with the lower price?
 ","A: A (영어 옵션 A), B: B (영어 옵션 B), C: Not enough information (한국어: 충분한 정보가 없음), D: nan (한국어: 숫자가 아님)",choice,주어진 매개변수로 두 옵션을 비교하라는 요청을 받았습니다. 무위험 이자율은 6%로 가정합니다. 이 옵션들이 기초하는 주식은 배당금을 지급하지 않는다고 가정합니다. <image 1> 가격이 더 낮은 주식에 대해 어떤 풋옵션을 매도해야 합니까?
504,instance reasoning,cross-instance attribute reasoning,"Where is the top of the purple bottle in relation to the man with the guitar?
 ","A: Beside him 그 옆에 있습니다, B: Above him 그 위에 있습니다, C: Below him 그 아래에 있습니다, D: On his head 그의 머리 위에 있습니다",choice,기타를 든 남자에 비해 보라색 병의 윗부분은 어디에 위치합니까?
913,logical reasoning,diagram reasoning,"Which country is highlighted?
 ","A: Saint Lucia 세인트 루시아, B: Jamaica 자메이카, C: Haiti 아이티, D: Cuba 쿠바",choice,어떤 나라가 강조되었나요?
1196,science & technology,biology & chemistry & physics,"From the above food web diagram, if all th bettle dies then
 ","A: guava increases 구아바가 증가한다, B: fungi decreases 곰팡이가 감소한다, C: bacteria increases 박테리아가 증가한다, D: guava decreases 구아바가 감소한다",choice,위의 먹이망 다이어그램에서 모든 딱정벌레가 죽는다면
1230,science & technology,biology & chemistry & physics,"The manufacture of compound F requires five separate chemical reactions. The initial reactant, compound A, is converted to compound B, compound B is converted to compound C, and so on. The diagram below summarizes the steps in the manufacture of compound F, including the percent yield for each step. Provide the missing quantities or missing percent yields.Assume that the reactant and product in each step react in a one-to-one mole ratio. <image 1>
 "," A: 20.0%,0.50 mol,0.05 mol,20.0% A: 20.0%,0.50 몰,0.05 몰,20.0%, B: 30.0%,0.50 mol,0.05 mol,20.0% B: 30.0%,0.50 몰,0.05 몰,20.0%, C: 40.0%,0.50 mol,0.05 mol,20.0% C: 40.0%,0.50 몰,0.05 몰,20.0%, D: 50.0%,0.50 mol,0.05 mol,20.0% D: 50.0%,0.50 몰,0.05 몰,20.0%",choice,"화합물 F의 제조에는 다섯 개의 독립적인 화학 반응이 필요합니다. 초기 반응물인 화합물 A는 화합물 B로 변환되고, 화합물 B는 화합물 C로 변환되며, 이와 같이 계속되어 화합물 F의 제조가 이루어집니다. 아래 도표는 각 단계의 수율을 포함하여 화합물 F의 제조 과정을 요약합니다. 누락된 양 또는 누락된 수율을 구하십시오. 각 단계에서 반응물과 생성물이 1:1 몰 비로 반응한다고 가정합니다. <image 1>"
651,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
 ","A: mason 석공, B: nurse 간호사, C: pilot 조종사, D: policeman 경찰관",choice,이 사진 속 사람들의 직업은 무엇인가요?
1312,science & technology,biology & chemistry & physics,"Which picture represents Aculeate?
 ","A: G, B: F, C: C, D: N A: G, B: F, C: C, D: N",choice,Aculeate를 나타내는 그림은 어떤 그림입니까?
801,logical reasoning,common reasoning,"What will happen next?
 ","A: the girls is gonna turn the pan around, 그 소녀들은 팬을 돌려 방향을 바꿀 것이다, B: the pan itself is gonna fly into the woman's face, 팬 자체가 여자의 얼굴로 날아갈 것이다, C: nothing is gonna happen, 아무 일도 일어나지 않을 것이다, D: both A,B, and C, A,B, 그리고 C 모두",choice,다음에 무슨 일이 일어날까요?
1257,science & technology,biology & chemistry & physics,"What is the ATP in the diagram?
 ","A: B 비, B: A 에이, C: D 디, D: none of the above 위의 보기 중 해당 없음",choice,도표의 ATP는 무엇입니까?
626,instance reasoning,single-instance reasoning,"What's the function of the demonstrated object?
 ","A: clean 청소, B: measurement 측정, C: Bulldozing 불도저 작업, D: Cutting platform 절단 플랫폼",choice,시연된 물체의 기능은 무엇입니까?
370,fine-grained perception,recognition,"What color is the writing on the sign in the image?
 ","A: White 흰색, B: Green 초록색, C: Red 빨간색, D: Black 검은색",choice,이미지 속 간판에 적힌 글씨의 색은 무엇입니까?
1175,math,statistical reasoning,"The Booth Company's sales are forecasted to double from $1,000 in 2010 to $2,000 in 2011. Here is the December 31, 2010, balance sheet: <image 1> Booth's fixed assets were used to only 50% of capacity during 2010, but its current assets were at their proper levels in relation to sales. All assets except fixed assets must increase at the same rate as sales, and fixed assets would also have to increase at the same rate if the current excess capacity did not exist. Booth's after-tax profit margin is forecasted to be 5% and its payout ratio to be 60%. What is Booth's additional funds needed (AFN) for the coming year?
 ","A: 360 삼백육십, B: Other Answers 다른 답변, C: nan 숫자 아님, D: nan 숫자 아님",choice,"Booth Company의 매출은 2010년 1,000달러에서 2011년 2,000달러로 두 배로 증가할 것으로 예측된다. 아래에는 2010년 12월 31일의 대차대조표가 있다: <image 1> Booth의 고정자산은 2010년 동안 설비 용량의 50%만 사용되었지만, 유동자산은 매출에 비례하여 적정 수준이 있었다. 고정자산을 제외한 모든 자산은 매출 증가율과 같은 비율로 증가해야 하며, 현재의 여유 용량이 존재하지 않는다면 고정자산 역시 같은 비율로 증가해야 한다. Booth의 세후 이익률은 5%로, 배당성향은 60%로 예측된다. 다가오는 해에 Booth가 필요한 추가 자금(AFN)은 얼마인가?"
1270,science & technology,biology & chemistry & physics,"What stage does D depict
 ","A: Chrysalis 고치, B: Egg 알, C: Caterpillar 애벌레, D: Butterfly 나비",choice,D가 묘사하는 단계는 무엇입니까?
1332,science & technology,electronics & energy & mechanical eng.,"Among the following binary trees, which one may become a binary search decision tree (excluding external nodes)
 ","A: <image 1>, B: <image 2>, C: <image 3>, D: <image 4> A: 이미지 1, B: 이미지 2, C: 이미지 3, D: 이미지 4",choice,다음 이진 트리들 중에서 어떤 것이 외부 노드를 제외한 이진 검색 결정 트리로 될 수 있는가?
425,fine-grained perception,recognition,"What is the shape of the window on the building in the image?
 ","A: Square 정사각형, B: Rectangle 직사각형, C: Circle 원, D: Triangle 삼각형",choice,이미지 속 건물의 창문 모양은 무엇인가요?
543,instance reasoning,cross-instance relation reasoning,"In nature, what's the relationship between these two creatures?
 ","A: Predatory relationships 포식적 관계, B: Competitive relationships 경쟁적 관계, C: Parasitic relationships 기생 관계, D: Symbiotic relationship 공생 관계",choice,자연에서 이 두 생물 사이의 관계는 무엇입니까?
663,instance reasoning,single-instance reasoning,"Where is the sheep?
 ","A: The sheep is behind the car 양은 차 뒤에 있다, B: The sheep is in the front of the car 양은 차 앞에 있다, C: The sheep is on the right of the car 양은 차의 오른쪽에 있다, D: The sheep is on the left of the car 양은 차의 왼쪽에 있다",choice,양은 어디에 있나요?
181,coarse perception,image style & quality,"Which image is more brightful?
 ","A: The first image 첫 번째 이미지, B: The second image 두 번째 이미지, C: nan, D: nan",choice,어떤 이미지가 더 밝습니까?
510,instance reasoning,cross-instance attribute reasoning,"Which image shows the highest sharpness?
 ","A: upper left 왼쪽 상단, B: upper right 오른쪽 상단, C: down left 왼쪽 하단, D: down right 오른쪽 하단",choice,어떤 이미지가 가장 선명합니까?
511,instance reasoning,cross-instance attribute reasoning,"Which image shows the highest sharpness?
 ","A: upper left 왼쪽 위, B: upper right 오른쪽 위, C: down left 왼쪽 아래, D: down right 오른쪽 아래",choice,가장 선명한 이미지는 어느 것인가?
278,fine-grained perception,object counting,"How many pairs of shoes can be seen in the image?
 ","A: One 하나, B: Three 세, C: Two 두, D: Cannot be determined 판단할 수 없다",choice,이미지에서 보이는 신발의 쌍은 몇 개입니까?
24,coarse perception,image scene and topic,"Based on the image, which statement best describes the likely purpose of the setting?
 ","A: A photoshoot for greeting cards 인사 카드용 사진 촬영, B: A scientific research site 과학 연구 현장, C: A festive celebration 축제적인 축하 행사, D: A picnic spot for a group of people 여러 명이 함께하는 피크닉 장소",choice,이미지를 기반으로 볼 때 이 설정의 가능한 목적을 가장 잘 설명하는 진술은 무엇입니까?
245,fine-grained perception,object counting,"How many angels have halos?
 ","A: Two 두 명, B: One 한 명, C: nan 숫자가 아님, D: Three 세 명",choice,후광을 가진 천사는 몇 명입니까?
655,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
 ","A: photographer 사진작가, B: chemist 화학자, C: repairman 수리공, D: pianist 피아니스트",choice,이 사진 속 사람들의 직업은 무엇입니까?
231,fine-grained perception,localization,"Where is the table in relation to the balcony?
 ","A: On the right side of the balcony, 발코니의 오른쪽에, B: In the center of the balcony, 발코니의 중앙에, C: On the left side of the balcony, 발코니의 왼쪽에, D: Cannot be determined from the information given, 주어진 정보로는 판단할 수 없다",choice,탁자는 발코니에 대해 어느 위치에 있나요?
1194,science & technology,biology & chemistry & physics,"Consider the molecule in blue bound to a binding site. Identify the binding interactions taking place at ii shown in red. <image 1>
 ","A: hydrogen bonds A: 수소 결합, B: ionic bonds B: 이온 결합, C: van der Waals interactions C: 반데르발스 상호작용, D: nan D: 없음",choice,파란색으로 표시된 분자가 결합 부위에 결합해 있다. 빨간색으로 표시된 ii 위치에서 일어나는 결합 상호작용을 식별하시오. <image 1>
629,instance reasoning,single-instance reasoning,"What's the function of the demonstrated object?
 ","A: excavate 굴착하다, B: transport 운반하다, C: weld 용접하다, D: Measure the level 수준을 측정하다",choice,시연된 물체의 기능은 무엇입니까?
215,fine-grained perception,localization,"What is the position of the sheep's legs in the image?
 ",A: At the top 위쪽에 B: On the right side 오른쪽에 C: On the left side 왼쪽에 D: At the bottom 아래쪽에,choice,이미지에서 양의 다리는 어디에 있나요?
924,logical reasoning,diagram reasoning,"Which solution has a higher concentration of green particles?
 ","A: neither; their concentrations are the same 둘 다 아니다; 농도는 같다, B: Solution A 용액 A, C: Solution B 용액 B, D: nan 숫자가 아니다",choice,어떤 용액에서 녹색 입자의 농도가 더 높은가요?
441,fine-grained perception,recognition,"Which of these cities is marked on the map?
 ","A: New York City 뉴욕시, B: Washington, D.C. 워싱턴 D.C., C: Philadelphia 필라델피아, D: Boston 보스턴",choice,다음 도시들 중 지도에 표시된 도시는 어느 도시입니까?
1403,science & technology,geography & earth science & agriculture,"Which country is highlighted?
 ","A: Dominica 도미니카, B: Antigua and Barbuda 앤티가 바부다, C: Barbados 바베도스, D: Saint Kitts and Nevis 세인트키츠 네비스",choice,어느 나라가 강조 표시되어 있나요?
1374,science & technology,geography & earth science & agriculture,"What does D depict in the diagram?
 ","A: 4th quarter 4분기, B: 1st quarter 1분기, C: 3rd quarter 3분기, D: none of the above 위의 어느 것도 아니다",choice,도표에서 D가 나타내는 것은 무엇입니까?
494,instance reasoning,cross-instance attribute reasoning,"What is the relative position of the man holding a guitar and the woman on stage?
 ","A: The man is behind the woman 남자는 여자 뒤에 있다, B: The man is to the right of the woman 남자는 여자의 오른쪽에 있다, C: The man is to the left of the woman 남자는 여자의 왼쪽에 있다, D: The man is in front of the woman 남자는 여자 앞에 있다",choice,무대 위에 있는 여자와 기타를 들고 있는 남자의 상대적인 위치는 무엇입니까?
1376,science & technology,geography & earth science & agriculture,"What does letter E depict?
 ","A: waning gibbous 하현보름달, B: first quarter 상현달, C: waxing gibbous 상현보름달, D: last quarter 하현달",choice,문자 E는 무엇을 나타냅니까?
46,coarse perception,image scene and topic,"What is the dominant color of the image?
 ","A: White 흰색, B: Brown 갈색, C: Gray 회색, D: Green 초록",choice,이미지의 주된 색상은 무엇인가요?
287,fine-grained perception,object counting,"How many people are playing music in the image?
 ","A: One, B: Two, C: Three, D: Four A: 한 명, B: 두 명, C: 세 명, D: 네 명",choice,이미지에서 음악을 연주하고 있는 사람은 몇 명인가요?
239,fine-grained perception,localization,"where is the cat?
 "," A: top-right 오른쪽 상단, B: top-left 왼쪽 상단, C: bottom-left 왼쪽 하단, D: bottom-right 오른쪽 하단",choice,고양이가 어디에 있나요?
1263,science & technology,biology & chemistry & physics,"What is the probability that a sheep produced by this cross will be homozygous dominant for the wool color gene?
 ","A: 2/4 4분의 2, B: 1/4 4분의 1, C: 0/4 4분의 0, D: 3/4 4분의 3",choice,이 교배로 생산된 양이 양모 색 유전자에 대해 동형접합 우성일 확률은 얼마입니까?
3,coarse perception,image emotion,"What feeling is represented in this image?
 ","A: engaged 몰입한, B: disordered 무질서한, C: angry 화난, D: supportive 지지하는",choice,이 이미지에서 표현된 감정은 무엇인가요?
1278,science & technology,biology & chemistry & physics,"Where do the axons of this nucleus terminate? <image 1> 
 ","A: Muscles of pharynx and larynx. 인두와 후두의 근육들., B: Postganglionic parasympathetic cell bodies. 부교감 신경절의 신경세포체들., C: Smooth muscle of viscera. 내장기관의 평활근., D: nan. 숫자가 아님",choice,이 핵의 축삭은 어디에서 종결합니까? <image 1>
931,math,geometry,"A surveyor needs to know the distance between points C and B in Figure 2.17. A building obscures the view directly between the two points. Setting up at the end of the building at point A, the surveyor measures the two distances AC and AB, and the interior angle at A. What is the desired distance, CB?<image 1>
 ",A: Distance CB = 748.50' C와 B 사이의 거리 = 748.50' B: Distance CB = 748.70' C와 B 사이의 거리 = 748.70' C: Distance CB = 748.60' C와 B 사이의 거리 = 748.60' D: Distance CB = 748.40' C와 B 사이의 거리 = 748.40',choice,"측량사는 그림 2.17에서 점 C와 점 B 사이의 거리를 알아야 한다. 건물이 두 점 사이의 시야를 직접 가리므로 차단된다. 건물의 끝에 있는 A 지점에 설치하고, 측량사는 AC와 AB 두 거리와 A에서의 내각을 측정한다. 원하는 거리 CB는 얼마인가?"
93,coarse perception,image scene and topic,"What is the overall theme of the image?
 ","A: Fashion 패션, B: Wildlife 야생동물, C: Nature 자연, D: Photography 사진",choice,그 이미지의 전반적인 주제는 무엇입니까?
336,fine-grained perception,recognition,"Does the man have any facial hair?
 ","A: No, 아니오, B: Yes, a mustache 네, 콧수염이 있습니다, C: Yes, a full beard 네, 전면 수염이 있습니다, D: Yes, slight stubble 네, 약간의 잔털이 있습니다",choice,그 남자에게 얼굴 털이 있나요?
1418,science & technology,geography & earth science & agriculture,"Which of the following is the magma chamber?
 ","A: K 케 이? No, wait. A: K 케 이? correction: A: K 케이, B: B 비, C: C 씨, D: H 에이치",choice,다음 중 마그마 방은 어느 것입니까?
1329,science & technology,electronics & energy & mechanical eng.,"A man at a point P on the shore of a circular lake of radius 1 mile wants to reach the point Q on the shore diametrically opposite P (Fig. 16-5). He can row 1.5 miles per hour and walk 3 miles per hour. At what angle $\theta $ ($0<\theta < \pi /2$) to the diameter PQ should he row in order to minimize the time required to reach Q? <image 1>
 ","A: $\theta = \pi /2$, B: $\theta = \pi /3$, C: $\theta = \pi $, D: $\theta = 2\pi $ A: 세타 = π /2 B: 세타 = π /3 C: 세타 = π D: 세타 = 2π",choice,반지름이 1마일인 원형 호수의 해안에 있는 점 P에서 시작해 P와 직경상 반대편에 위치한 해안의 점 Q에 도달하고 싶다. 그는 시속 1.5마일로 노를 젓고 시속 3마일로 걷는다. Q에 도달하는 데 필요한 시간을 최소화하려면 PQ의 직경에 대해 θ(0<θ<π/2) 만큼의 각도로 노를 저어야 하는가? (그림 16-5)
705,logical reasoning,code & sequence reasoning,"What is correct Python code to generate the content of the image?
 "," A: def myfunc():\n x = 300\n def myinnerfunc():\n print(x)\n myinnerfunc()\n\nmyfunc() (한국어 번역: 이 코드는 x 값을 출력하기 위해 중첩 함수를 정의하고 호출합니다.), B: thisdict = {\n ""brand"": ""Ford"",\n ""model"": ""Mustang"",\n ""year"": 1964\n}\n\nprint(len(thisdict)) (한국어 번역: 이 코드는 딕셔너리를 생성하고 길이를 출력합니다.), C: x = min(5, 10, 25)\ny = max(5, 10, 25)\n\nprint(x)\nprint(y) (한국어 번역: 이 코드는 최소값과 최대값을 계산하고 출력합니다.), D: class Person:\n def __init__(self, name, age):\n self.name = name\n self.age = age\n\np1 = Person(""John"", 36)\n\nprint(p1.name)\nprint(p1.age) (한국어 번역: 이 코드는 이름과 나이를 가진 Person 클래스를 정의하고 인스턴스의 이름과 나이를 출력합니다.)",choice,이미지의 내용을 생성하기 위한 올바른 파이썬 코드는 무엇입니까?
766,logical reasoning,common reasoning,"If you were to sit on the chair closest to the window, which color would the chair be?
 ","A: Green 초록색, B: Blue 파란색, C: Red 빨간색, D: White 흰색",choice,창문에 가장 가까운 의자에 앉는다면 의자는 어떤 색일까요?
884,logical reasoning,diagram reasoning,"The diagram above represents the cycle of the Earth around the Sun, what letter represents Summer Solstice?
 ","A: D 디, B: C 씨, C: B 비, D: A 에이",choice,위의 도표는 지구가 태양 주위를 도는 주기를 나타냅니다. 여름 하지에 해당하는 문자는 무엇입니까?
538,instance reasoning,cross-instance relation reasoning,"Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?
 ","A: sample B 샘플 B, B: sample A 샘플 A, C: neither; the samples have the same temperature 어느 쪽도 아니다; 두 샘플은 같은 온도이다, D: nan 숫자가 아님",choice,각 샘플에 포함된 입자들의 평균 운동에너지를 비교하시오. 어느 샘플의 온도가 더 높습니까?
379,fine-grained perception,recognition,"What is the color of the eye in the mask in the image?
 ","A: Blue and green 파란색과 초록색, B: Purple and pink 보라색과 분홍색, C: Brown and black 갈색과 검은색, D: Yellow and black 노란색과 검은색",choice,이미지 속 가면의 눈 색깔은 무엇입니까?
1402,science & technology,geography & earth science & agriculture,"Which area on the map shows China?
 ","A: B 비, B: C 씨, C: D 디, D: A 에이",choice,지도에서 중국이 표시된 영역은 어디인가요?
279,fine-grained perception,object counting,"How many people are holding the flag in the street?
 ","A: 3 삼, B: 2 이, C: 1 일, D: Cannot be determined 알 수 없음",choice,거리에서 깃발을 들고 있는 사람은 몇 명인가요?
165,coarse perception,image style & quality,"What art style is evident in this image?
 ","A: watercolor 수채화, B: photography 사진, C: vector art 벡터 아트, D: pencil 연필",choice,이 이미지에서 나타나는 미술 스타일은 무엇입니까?
1104,math,statistical reasoning,"Given the adjacency matrix of a weighted undirected graph as follows, the total weight of its minimum spanning tree is:<image 1>
 ","A: 22 이십이, B: 20 이십, C: 15 십오, D: 8 팔",choice,"다음과 같은 가중치를 갖는 무향 그래프의 인접 행렬이 주어졌을 때, 그 최소 신장 트리의 총 가중치는 얼마입니까? <image 1>"
86,coarse perception,image scene and topic,"What is the most prominent feature in the image?
 "," A: The skyline 스카이라인, B: The golf course 골프 코스, C: The trees 나무들, D: The person 사람",choice,이미지에서 가장 두드러진 특징은 무엇인가요?
174,coarse perception,image style & quality,"Which category does this image belong to?
 ","A: oil painting 유화, B: sketch 스케치, C: digital art 디지털 아트, D: photo 사진",choice,이 이미지는 어떤 카테고리에 속하나요?
1092,math,numeric commonsense and calculation,"Which operation of fractions is represented by this formula?
 ","A: Add 덧셈, B: Subtract 뺄셈, C: Multiply 곱셈, D: Devide 나눗셈",choice,이 수식이 나타내는 분수의 연산은 무엇입니까?
767,logical reasoning,common reasoning,"In nature, what's the relationship between these two creatures?
 ","A: Predatory relationships 포식 관계, B: Competitive relationships 경쟁 관계, C: Parasitic relationships 기생 관계, D: Symbiotic relationship 공생 관계",choice,자연에서 이 두 생물 사이의 관계는 무엇인가요?
805,logical reasoning,common reasoning,"What will happen next?
 "," A: the person is gonna fall off the ladder 그 사람이 사다리에서 떨어질 거야, B: the person is gonna stand still on the ladder 그 사람은 사다리 위에서 가만히 있을 거야, C: someone is gonna come and hold the ladder 누군가 와서 사다리를 잡아줄 거야, D: both A,B, and C A, B, C 모두",choice,다음에 무슨 일이 일어날까요?
1208,science & technology,biology & chemistry & physics,"In the diagram of the food web shown, what do flat fish eat as food?
 ","A: fan worm 부채벌레, B: nurse shark 간호상어, C: giant clam 거대한 대합조개, D: turtle grass 거북이풀",choice,제시된 먹이망 다이어그램에서 편평한 물고기는 먹이로 무엇을 삼나요?
527,instance reasoning,cross-instance attribute reasoning,"Which picture depicts cell division?
 ","A: B 비, B: A 에이, C: C 씨, D: {}",choice,어떤 그림이 세포 분열을 묘사하고 있습니까?
38,coarse perception,image scene and topic,"What is the color of the majority of objects in the image?
 ","A: White 흰색, B: Gray 회색, C: Blue 파란색, D: Green 초록색",choice,이미지 속 다수의 물체의 색은 무엇입니까?
19,coarse perception,image emotion,"Which mood does this image convey?
 ","A: Sad 슬픈, B: Cozy 아늑한, C: Happy 행복한, D: Angry 화난",choice,이 이미지가 전달하는 분위기는 무엇입니까?
519,instance reasoning,cross-instance attribute reasoning,"Which of the following statements match the image?
 ","A: A triangle is to the left of a pentagon., B: A blue pentagon is to the right of a gray pentagon., C: A blue square is to the left of a blue pentagon., D: A blue pentagon is to the left of a gray shape. A: 삼각형이 오각형의 왼쪽에 있다., B: 파란 오각형이 회색 오각형의 오른쪽에 있다., C: 파란 정사각형이 파란 오각형의 왼쪽에 있다., D: 파란 오각형이 회색 도형의 왼쪽에 있다.",choice,다음 중 이미지와 일치하는 진술은 무엇입니까?
1209,science & technology,biology & chemistry & physics,"In the diagram of the food web shown, what will most directly be impacted if the supply of deer increase?
 ","A: foxes will decrease 여우들이 감소할 것이다, B: fruit trees will decrease 과일나무들이 감소할 것이다, C: fruit trees will increase 과일나무들이 증가할 것이다, D: grass will decrease 풀은 감소할 것이다",choice,제시된 먹이망 다이어그램에서 사슴의 공급량이 증가하면 가장 직접적으로 어떤 것이 영향을 받게 될까요?
246,fine-grained perception,object counting,"How many apples are there in the image? And how many bananas are there?
 ","A: 3 apples and 1 bananas 사과 3개와 바나나 1개, B: 3 apples and 2 bananas 사과 3개와 바나나 2개, C: 1 apples and 1 bananas 사과 1개와 바나나 1개, D: 2 apples and 1 bananas 사과 2개와 바나나 1개",choice,이미지에는 사과가 몇 개 있나요? 그리고 바나나가 몇 개 있나요?
123,coarse perception,image scene and topic,"What kind of weather is depicted in the picture?
 ","A: sunny 맑음, B: rainy 비 오는, C: windy 바람 부는, D: snowy 눈 오는",choice,사진에 묘사된 날씨는 어떤 모습인가요?
56,coarse perception,image scene and topic,"What is the main color of the image?
 "," A: Red 빨간색, B: Green 초록색, C: Black 검은색, D: White 흰색",choice,이미지의 주요 색상은 무엇입니까?
653,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
 ","A: mason 석공, B: postman 우편배달원, C: pilot 조종사, D: policeman 경찰관",choice,이 사진 속 사람들의 직업은 무엇입니까?
94,coarse perception,image scene and topic,"What is the overall theme of this image?
 ","A: Sports 스포츠, B: Sunset 일몰, C: Nature 자연, D: Kids playing 아이들이 노는 모습",choice,이 이미지의 전반적인 주제는 무엇인가요?
373,fine-grained perception,recognition,"What is the color of the ball closest to the man?
 ","A: White 흰색, B: Red 빨간색, C: Blue 파란색, D: Brown 갈색",choice,그 남자와 가장 가까운 공의 색은 무엇입니까?
33,coarse perception,image scene and topic,"What color dominates the logo seen on the wall?
 ","A: Red 빨간색, B: Black and White 검은색과 흰색, C: Yellow 노란색, D: Blue 파란색",choice,벽에 보이는 로고의 주된 색상은 무엇입니까?
