,Unnamed: 0,qid,category,l2_category,question_en,options,answer_type,question_kr
85,85,274,fine-grained perception,object counting,How many musical instruments can be seen in the image? ,"A: One 하나, B: Four 넷, C: Three 셋, D: Two 둘",choice,보이는 악기의 수는 몇 개인가요?
86,86,1044,math,geometry,The volume of which object can be calculated using the formula in the figure? ,"A: Cuboid. A: 직육면체., B: Cylinder. B: 원통., C: Cone. C: 원뿔., D: Sphere. D: 구체.",choice,다음 물체의 부피는 무엇을 사용하여 계산할 수 있나요?
87,87,304,fine-grained perception,object counting,How many people in the image have a visible smile? ," A: Two, B: Four, C: Three, D: Five A: Two 둘, B: Four 네, C: Three 셋, D: Five 다섯",choice,사진 속에서 보이는 미소를 가진 사람이 몇 명입니까?
88,88,572,instance reasoning,cross-instance relation reasoning,Which solution has a higher concentration of blue particles? ,"A: Solution A 용액 A, B: Solution B 용액 B, C: neither; their concentrations are the same 둘 다 아니다; 농도가 같습니다, D: nan 값이 없습니다",choice,b...의 농도가 더 높은 용액은 어느 것입니까?
89,89,1241,science & technology,biology & chemistry & physics,What do these calcifications represent? <image 1>  ,"A: Gallstones 담석, B: Pancreatic calcifications 췌장 석회화, C: Calcified hematoma of the liver 간의 석화된 혈종, D: Hepatic artery aneurysms 간동맥류",choice,이 석회화는 무엇을 나타냅니까?
90,90,533,instance reasoning,cross-instance relation reasoning,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature? ," A: neither; the samples have the same temperature 둘 다 아니다; 두 샘플의 온도가 같다, B: sample A, 샘플 A, C: sample B, 샘플 B, D: nan NaN(숫자 아님)",choice,입자들의 평균 운동 에너지를 비교하시오.
91,91,348,fine-grained perception,recognition,Name the topmost opening of a volcano ,"A: Camino Proncipale 주요 경로, B: Camino volcanico 화산 경로, C: Cratere volcanico 화산 분화구, D: Cratere Proncipale 주요 분화구",choice,화산의 최상단 분화구의 이름을 말하시오.
92,92,567,instance reasoning,cross-instance relation reasoning,Which property do these four objects have in common? ,"A: fragile 약한, B: transparent 투명한, C: opaque 불투명한, D: nan 숫자가 아님",choice,다음 네 객체가 공통으로 가지는 속성은 무엇입니까?
93,93,1264,science & technology,biology & chemistry & physics,What label shows the transplanted seedling? ,"A: E, B: B, C: C, D: D A: 이, B: 비, C: 씨, D: 디",choice,이식된 묘목을 표시하는 라벨은 무엇입니까?
94,94,150,coarse perception,image scene and topic,Which of the following captions best describes this image? ,"A: A person taking a photo with a camera, B: A group of people watching a movie in a theater, C: A person reading a book in a library, D: A woman applying makeup in front of a mirror A: 카메라로 사진을 찍는 사람, B: 극장에 모여 영화를 보는 사람들, C: 도서관에서 책을 읽는 사람, D: 거울 앞에서 화장을 하는 여성",choice,다음 캡션 중 어떤 것이 가장 잘 설명합니까?
95,95,146,coarse perception,image scene and topic,Which of the following captions best describes this image? ,"A: A group of people playing soccer in a field, B: A woman walking her dog on a beach, C: A man riding a bicycle on a mountain trail, D: A child playing with a ball in a park 들판에서 축구를 하는 사람들, 해변에서 개를 산책하는 여성, 산길에서 자전거를 타는 남성, 공원에서 공을 가지고 노는 아이",choice,다음 이미지에 대해 아래 캡션 중 어느 것이 가장 잘 설명합니까?
96,96,21,coarse perception,image emotion,what emotion does this emoji express? ,"A: happy 행복한, B: sad 슬픈, C: excited 신난, D: angry 화난",choice,이 이모지는 어떤 감정을 표현하나요?
97,97,923,logical reasoning,diagram reasoning,Which part the body that lies between the thorax and the stinger? ,"A: C, B: A, C: G, D: I A: C(씨), B: A(에이), C: G(지), D: I(아이)",choice,흉부 사이에 위치한 신체의 어느 부분입니까?
98,98,225,fine-grained perception,localization,Where is the pathway located in the image? ,"A: On the left side of the image, 이미지의 왼쪽에 있습니다 B: On the right side of the image, 이미지의 오른쪽에 있습니다 C: In the center of the image, 이미지의 중앙에 있습니다 D: Cannot be determined from the information provided, 제공된 정보로는 판단할 수 없습니다",choice,이미지에서 경로가 어디에 위치해 있나요?
99,99,308,fine-grained perception,object counting,How many plants are in the image? ,"A: 1, B: 2, C: 3, D: 4 A: 1, B: 2, C: 3, D: 4",choice,이미지에 식물이 몇 개 있나요?
