,question_id,category,l2_category,question,answer,correct,question_en,options,answer_type
271,19.0,coarse perception,image emotion,"Which mood does this image convey?
 Options: A: Sad, B: Cozy, C: Happy, D: Angry",B,0.384615384615385,"Which mood does this image convey?
 "," A: Sad, B: Cozy, C: Happy, D: Angry",choice
498,519.0,instance reasoning,cross-instance attribute reasoning,"Which of the following statements match the image?
 Options: A: A triangle is to the left of a pentagon., B: A blue pentagon is to the right of a gray pentagon., C: A blue square is to the left of a blue pentagon., D: A blue pentagon is to the left of a gray shape.",B,0.272727272727273,"Which of the following statements match the image?
 "," A: A triangle is to the left of a pentagon., B: A blue pentagon is to the right of a gray pentagon., C: A blue square is to the left of a blue pentagon., D: A blue pentagon is to the left of a gray shape.",choice
871,1209.0,science & technology,biology & chemistry & physics,"In the diagram of the food web shown, what will most directly be impacted if the supply of deer increase?
 Options: A: foxes will decrease, B: fruit trees will decrease, C: fruit trees will increase, D: grass will decrease",B,0.1,"In the diagram of the food web shown, what will most directly be impacted if the supply of deer increase?
 "," A: foxes will decrease, B: fruit trees will decrease, C: fruit trees will increase, D: grass will decrease",choice
533,246.0,fine-grained perception,object counting,"How many apples are there in the image? And how many bananas are there?
 Options: A: 3 apples and 1 bananas, B: 3 apples and 2 bananas, C: 1 apples and 1 bananas, D: 2 apples and 1 bananas",C,0.25,"How many apples are there in the image? And how many bananas are there?
 "," A: 3 apples and 1 bananas, B: 3 apples and 2 bananas, C: 1 apples and 1 bananas, D: 2 apples and 1 bananas",choice
1111,123.0,coarse perception,image scene and topic,"What kind of weather is depicted in the picture?
 Options: A: sunny, B: rainy, C: windy, D: snowy",A,0.0833333333333333,"What kind of weather is depicted in the picture?
 "," A: sunny, B: rainy, C: windy, D: snowy",choice
843,56.0,coarse perception,image scene and topic,"What is the main color of the image?
 Options: A: Red, B: Green, C: Black, D: White",D,0.153846153846154,"What is the main color of the image?
 "," A: Red, B: Green, C: Black, D: White",choice
303,653.0,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
 Options: A: mason, B: postman, C: pilot, D: policeman",B,0.363636363636364,"What's the profession of the people in this picture?
 "," A: mason, B: postman, C: pilot, D: policeman",choice
1151,94.0,coarse perception,image scene and topic,"What is the overall theme of this image?
 Options: A: Sports, B: Sunset, C: Nature, D: Kids playing",B,0.0769230769230769,"What is the overall theme of this image?
 "," A: Sports, B: Sunset, C: Nature, D: Kids playing",choice
317,373.0,fine-grained perception,recognition,"What is the color of the ball closest to the man?
 Options: A: White, B: Red, C: Blue, D: Brown",A,0.333333333333333,"What is the color of the ball closest to the man?
 "," A: White, B: Red, C: Blue, D: Brown",choice
1275,33.0,coarse perception,image scene and topic,"What color dominates the logo seen on the wall?
 Options: A: Red, B: Black and White, C: Yellow, D: Blue",A,0.0,"What color dominates the logo seen on the wall?
 "," A: Red, B: Black and White, C: Yellow, D: Blue",choice
1303,1181.0,science & technology,biology & chemistry & physics,"<image 1> What could be the reason for the corky outgrowths on a young ash tree by the roadside in Littondale, Yorkshire?
 Options: A: Fungal disease, B: Bacterial disease, C: Don't know or not sure, D: Genetic abnormality",B,0.0,"<image 1> What could be the reason for the corky outgrowths on a young ash tree by the roadside in Littondale, Yorkshire?
 "," A: Fungal disease, B: Bacterial disease, C: Don't know or not sure, D: Genetic abnormality",choice
844,92.0,coarse perception,image scene and topic,"What is the overall theme of the image?
 Options: A: Beach vacation, B: Athletic lifestyle, C: Summer fashion, D: Urban street style",C,0.153846153846154,"What is the overall theme of the image?
 "," A: Beach vacation, B: Athletic lifestyle, C: Summer fashion, D: Urban street style",choice
558,378.0,fine-grained perception,recognition,"What is the color of the ears on the dessert item located in the bottom right of the image?
 Options: A: Red, B: Brown, C: Black, D: White",D,0.25,"What is the color of the ears on the dessert item located in the bottom right of the image?
 "," A: Red, B: Brown, C: Black, D: White",choice
812,410.0,fine-grained perception,recognition,"What is the main item on the counter in the image?
 Options: A: A cup of ice cream on a counter with a cone on top, B: Two ice cream cones sitting next to each other, C: A coffee cup with whipped cream on top, D: A cup of ice cream with different flavors",B,0.166666666666667,"What is the main item on the counter in the image?
 "," A: A cup of ice cream on a counter with a cone on top, B: Two ice cream cones sitting next to each other, C: A coffee cup with whipped cream on top, D: A cup of ice cream with different flavors",choice
709,814.0,logical reasoning,common reasoning,"Which corner doesn't have any food?
 Options: A: top-right, B: top-left, C: bottom-left, D: bottom-right",D,0.181818181818182,"Which corner doesn't have any food?
 "," A: top-right, B: top-left, C: bottom-left, D: bottom-right",choice
1084,55.0,coarse perception,image scene and topic,"What is the main activity happening in this image?
 Options: A: A couple of men are playing soccer, B: A group of people are having a picnic in the park, C: Two men are playing cricket, D: A group of people are playing volleyball",A,0.0833333333333333,"What is the main activity happening in this image?
 "," A: A couple of men are playing soccer, B: A group of people are having a picnic in the park, C: Two men are playing cricket, D: A group of people are playing volleyball",choice
