,category,l2_category,question,answer,correct
247,fine-grained perception,object counting,"How many apples are there in the image? And how many bananas are there?
Options: A: 4 apples and 2 bananas, B: 3 apples and 3 banana, C: 2 apples and 4 bananas, D: 4 apples and 1 bananas",A,0.5
1034,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，在ABCD中，已知AC＝4cm，若△ACD的周长为14cm，则ABCD的周长为（）
Choices:
(A) 14cm
(B) 28cm
(C) 10cm
(D) 20cm",D,0.5
1032,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，两直线a，b被直线c所截，已知a∥b，∠1＝62°，则∠2的度数为（）
Choices:
(A) 118°
(B) 108°
(C) 62°
(D) 128°",A,0.5
966,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, ⊙O is the circumscribed circle of the quadrilateral ABCD, if ∠O = 110.0, then the degree of ∠C is ()
Choices:
(A) 125°
(B) 120°
(C) 105°
(D) 90°",A,0.5
1041,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 已知：如图，△ABC中，AB＝AC，BD为∠ABC的平分线，∠BDC＝75°，则∠A的度数为（）
Choices:
(A) 25°
(B) 35°
(C) 40°
(D) 45°",C,0.5
809,logical reasoning,common reasoning,"What's the profession of the people in this picture?
Options: A: trainer, B: chemist, C: musician, D: pianist",D,0.5
11,coarse perception,image emotion,"What motion this image want to convey?
Options: A: happy, B: angry, C: sad, D: terrified",C,0.5
902,logical reasoning,diagram reasoning,"What letter shows where the water leaves the soil and goes into the plant?
Options: A: c, B: f, C: d, D: e",B,0.5
1278,science & technology,biology & chemistry & physics,"Where do the axons of this nucleus terminate? <image 1> 
Options: A: Muscles of pharynx and larynx., B: Postganglionic parasympathetic cell bodies., C: Smooth muscle of viscera., D: nan",B,0.5
1407,science & technology,geography & earth science & agriculture,"Which figure shows active flexures?
Options: A: D, B: B, C: C, D: G",B,0.5
1405,science & technology,geography & earth science & agriculture,"Which country is highlighted?
Options: A: The Bahamas, B: Trinidad and Tobago, C: Cuba, D: Grenada",B,0.5
88,coarse perception,image scene and topic,"What is the occasion depicted in the image?
Options: A: New Year's Eve celebration, B: Christmas Eve party, C: Birthday celebration, D: Wedding reception",B,0.5
1400,science & technology,geography & earth science & agriculture,"When can the full moon be seen from earth?
Options: A: E, B: B, C: I, D: J",B,0.5
1387,science & technology,geography & earth science & agriculture,"What is the part represented by A?
Options: A: none of the above, B: liquid metallic hydrogen, C: molecular hydrogen, D: rocky core",B,0.5
864,logical reasoning,diagram reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the value of the largest bar?
Choices:
(A) 10
(B) 9
(C) 6
(D) 7",B,0.5
1003,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the center of symmetry of this function?
Choices:
(A) (0, 0)
(B) (-1, 0)
(C) (2, 0)
(D) (1, 0)",A,0.5
1264,science & technology,biology & chemistry & physics,"What label shows the transplanted seedling?
Options: A: E, B: B, C: C, D: D",A,0.5
905,logical reasoning,diagram reasoning,"What stage is the cooling stage?
Options: A: none of the above, B: L, C: K, D: M",B,0.5
1301,science & technology,biology & chemistry & physics,"Which of the following is the enantiomer of the compound shown below ? <image 1>
Options: A: <image 2>, B: <image 3>, C: <image 4>, D: <image 5>",A,0.5
901,logical reasoning,diagram reasoning,"What letter represents the full moon?
Options: A: I, B: E, C: G, D: C",C,0.5
910,logical reasoning,diagram reasoning,"Which continent is highlighted?
Options: A: Europe, B: South America, C: Antarctica, D: Africa",C,0.5
393,fine-grained perception,recognition,"What is the color of the shirt worn by the baseball player standing on the right side of the image?
Options: A: Blue, B: White, C: Black, D: Gray",B,0.5
1022,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，AB∥CD，BD⊥CF，垂足为B，∠ABF＝35°，则∠BDC的度数为（）
Choices:
(A) 25°
(B) 35°
(C) 45°
(D) 55°",D,0.5
1007,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the limit of the blue function as x approaches negative infinity?
Choices:
(A) 0.5
(B) 1
(C) -1
(D) 0",D,0.5
1089,math,numeric commonsense and calculation,"Which formula has the same calculation result with the formula in the figure?
Options: A: a^2 – 2*a*b + b^2, B: a^2 – 2*a*b - b^2, C: a^2 – 2*a*b + b^2, D: a^2 + 2*a*b + b^2",A,0.5
1030,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，△ABC中，N是BC边上的中点，AM平分∠BAC，BM⊥AM于点M，若AB＝8，MN＝2．则AC的长为（）
Choices:
(A) 10
(B) 11
(C) 13
(D) 12",D,0.5
1086,math,numeric commonsense and calculation,"The area of which figure can be calculated using the formula in this picture?
Options: A: Trapezoid., B: Ellipse., C: Triangle., D: Circle.",A,0.5
813,logical reasoning,common reasoning,"Which can be the associated text with this image posted on twitter
Options: A: if anyone has super mario maker 2, make sure to stop by my account and play a few of my levels. most of these levels are from 4-1 years ago, tho, i do have a super world in the works!, B: 2017年10月27日発売のNintendo Switchソフト『スーパーマリオ オデッセイ』の公式アカウントです。3Dマリオ最新作『スーパーマリオ オデッセイ』に関するゲーム情報やお知らせをディレクターの元倉がお伝えします。 ※ご質問・お問い合わせにはお答えしておりませんのでご容赦ください。, C: happy tears of the kingdom day!! #kirby #zelda, D: See You In July - Kirby Gamble Galaxy Stories #Kirby #Nintendo #Gamedev #GameDesign #カービィ #星のカービィ #Fangame #Fanart #IndieDev #GameMaker #gamedevelopment #Fanart",A,0.5
1017,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the y-intercept of this function?
Choices:
(A) 0
(B) 1
(C) 2
(D) 3",B,0.5
1012,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the perimeter of the square?
Choices:
(A) 16
(B) 22
(C) 14
(D) 32",A,0.5
713,logical reasoning,code & sequence reasoning,"Which Python code can generate the content of the image?
Options: A: print ""My name is %s and weight is %d kg!"" % ('Zara', 21), B: print ""My name is %s and weight is %d kg!"" % ('Zara', 11), C: print ""My name is %s and weight is %d g!"" % ('Zara', 21), D: print ""My name is %s and weight is %d kg!"" % ('Laura', 21)",A,0.5
1160,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the value of the largest bar?
Choices:
(A) 10
(B) 7.5
(C) 9
(D) 8",C,0.5
1159,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the total value of the More bar?
(A) 44
(B) 52
(C) 46
(D) 70",B,0.5
437,fine-grained perception,recognition,"Which can be the associated text with this image posted on twitter
Options: A: Morning: Memeland Evening: Jay Chou 7 sold out nights in #hongkong #JayChou, B: We will be streaming our Mayday [ Live In the Sky ] online concert tomorrow night: http://bit.ly/YTBinMusic . We go on at 20:00 (GMT+8) May 31st. See you online then., C: my little airport 🫶🏼, D: Run to Victoria Harbor at night😅",A,0.5
1045,math,numeric commonsense and calculation,"<image 1> Baxter Company has a relevant range of production between 15,000 and 30,000 units. The following cost data represents average variable costs per unit for 25,000 units of production. If 30,000 units are produced, what are the per unit manufacturing overhead costs incurred?
Options: A: $6, B: $7, C: $8, D: $9",B,0.5
1087,math,numeric commonsense and calculation,"The volume of which object can be calculated using the formula in the figure?
Options: A: Cuboid., B: Cylinder., C: Cone., D: Sphere.",B,0.5
12,coarse perception,image emotion,"Which emotion is being depicted in this image?
Options: A: happiness, B: sadness, C: anger, D: loneliness",B,0.48
172,coarse perception,image style & quality,"Which category does this image belong to?
Options: A: medical CT image, B: 8-bit, C: digital art, D: painting",B,0.48
57,coarse perception,image scene and topic,"What is the main color scheme of the image?
Options: A: Shades of blue and green, B: Bright oranges and pinks, C: Various shades of gray and black, D: A rainbow of vivid colors",C,0.46153846153846156
45,coarse perception,image scene and topic,"What is the dominant color of the clothing worn by people in the image?
Options: A: White, B: Green, C: Red, D: Blue",A,0.46153846153846156
100,coarse perception,image scene and topic,"What is the predominant feature of the forest in the image?
Options: A: The ground is dry and covered in brown dirt, B: The trees are all tall and bare with no leaves, C: The trees are covered in green ivy and climbing vines, D: The bark on the trees is white and peeling",B,0.46153846153846156
96,coarse perception,image scene and topic,"What is the predominant color in this image?
Options: A: Blue, B: White, C: Brown, D: Green",B,0.46153846153846156
113,coarse perception,image scene and topic,"What is the relative position of the man and the child in this image?
Options: A: The man and the child are out of frame, B: The man is standing next to the child, C: The man is holding the child, D: The man is standing apart from the child",B,0.46153846153846156
28,coarse perception,image scene and topic,"Does the image depict a balcony?
Options: A: Yes, B: No, C: Cannot be determined, D: Not enough information",B,0.46153846153846156
196,coarse perception,image style & quality,"what style is this painting?
Options: A: ink wash painting, B: watercolor painting, C: gouache painting, D: pen and ink",A,0.4583333333333333
641,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
Options: A: astronaut, B: chemist, C: violinist, D: pianist",C,0.45454545454545453
522,instance reasoning,cross-instance attribute reasoning,"Which of the following statements match the image?
Options: A: A triangle is to the right of an ellipse., B: A triangle is to the left of an ellipse., C: A green cross is to the right of a red shape., D: A green triangle is to the left of a yellow ellipse.",B,0.45454545454545453
856,logical reasoning,diagram reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the accuracy of the algorithm with highest accuracy?
Choices:
(A) 4.5
(B) 5
(C) 8
(D) 7.5",C,0.45454545454545453
643,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
Options: A: baker, B: butcher, C: carpenter, D: doctor",D,0.45454545454545453
523,instance reasoning,cross-instance attribute reasoning,"Which of the following statements match the image?
Options: A: A yellow triangle is below a red rectangle., B: A cross is above a cyan shape., C: A rectangle is above a cyan shape., D: A cyan rectangle is below a red shape.",C,0.45454545454545453
772,logical reasoning,common reasoning,"Is the window in front of the woman open or closed?
Options: A: Half-open, B: Open, C: Closed, D: Unable to determine",C,0.45454545454545453
647,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
Options: A: driver, B: teacher, C: waiter, D: tailor",C,0.45454545454545453
470,instance reasoning,cross-instance attribute reasoning,"What direction is Chile in Argentina?
Options: A: east, B: south, C: west, D: north",C,0.45454545454545453
667,instance reasoning,single-instance reasoning,"Which is a full grown plant?
Options: A: d, B: b, C: c, D: a",A,0.45454545454545453
531,instance reasoning,cross-instance attribute reasoning,"which image is more colorful?
Options: A: The first image, B: The second image, C: nan, D: nan",B,0.45454545454545453
533,instance reasoning,cross-instance relation reasoning,"Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?
Options: A: neither; the samples have the same temperature, B: sample A, C: sample B, D: nan",B,0.45454545454545453
518,instance reasoning,cross-instance attribute reasoning,"Which of the following statements match the image?
Options: A: A red rectangle is below a blue ellipse., B: A cross is above an ellipse., C: A red shape is above an ellipse., D: A blue ellipse is below a red ellipse.",C,0.45454545454545453
455,instance reasoning,cross-instance attribute reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the age gap between these two people in image? (Unit: years)
Choices:
(A) 10
(B) 20
(C) 16
(D) 32",C,0.45454545454545453
590,instance reasoning,single-instance reasoning,"In what relative position are the men playing the guitars on stage?
Options: A: Standing close to each other, B: Standing apart from each other, C: Sitting apart from each other, D: Sitting close to each other",B,0.45454545454545453
839,logical reasoning,diagram reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: How many people like the most preferred object in the whole chart?
Choices:
(A) 4
(B) 5
(C) 6
(D) 9",D,0.45454545454545453
576,instance reasoning,cross-instance relation reasoning,"Which solution has a higher concentration of pink particles?
Options: A: neither; their concentrations are the same, B: Solution A, C: Solution B, D: nan",C,0.45454545454545453
563,instance reasoning,cross-instance relation reasoning,"Which is right?
Options: A: Two toys are next to each other, B: Two toys are far from each other, C: Two toys are facing each other, D: Two toys are backing each other",A,0.45454545454545453
451,instance reasoning,cross-instance attribute reasoning,"Are the two animals in the picture the same color?
Options: A: same, B: Not the same, C: Can't judge, D: nan",B,0.45454545454545453
683,logical reasoning,code & sequence reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Calculate the missing item.
Choices:
(A) 0
(B) 1
(C) 2
(D) 3",B,0.45454545454545453
710,logical reasoning,code & sequence reasoning,"Which Python code can generate the content of the image?
Options: A: def get_vowels(string):
return [vowel for vowel in string if vowel in 'aeiou'] 
print(""Vowels are:"", get_vowels('This is some random string')), B: def get_vowels(string):
return [vowel for vowel in string if vowel in 'weiou'] 
print(""Vowels are:"", get_vowels('This is some random string')), C: def get_vowels(string):
return [vowel for vowel in string if vowel in 'aeiou'] 
print(""Vowels are:"", get_vowels('This is a string')), D: def get_vowels(string):
return [vowel for vowel in string if vowel in 'aeiou'] 
print(""Vowels are:"", get_vowels('string'))",A,0.45454545454545453
651,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
Options: A: mason, B: nurse, C: pilot, D: policeman",D,0.45454545454545453
606,instance reasoning,single-instance reasoning,"What is most prominent in the image?
Options: A: A building with a clock, B: A city skyline, C: A boat docked in the water., D: Water with boats and ships.",A,0.45454545454545453
460,instance reasoning,cross-instance attribute reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the age gap between these two people in image? (Unit: years)
Choices:
(A) 5
(B) 16
(C) 10
(D) 30",B,0.45454545454545453
147,coarse perception,image scene and topic,"Which of the following captions best describes this image?
Options: A: A group of people sitting around a campfire, B: A person kayaking on a lake, C: A family having a picnic in a park, D: A person hiking on a mountain trail",A,0.4166666666666667
397,fine-grained perception,recognition,"What is the color of the watch worn by a person in the image?
Options: A: White, B: Black, C: Silver, D: Gold",B,0.4166666666666667
46,coarse perception,image scene and topic,"What is the dominant color of the image?
Options: A: White, B: Brown, C: Gray, D: Green",A,0.4166666666666667
148,coarse perception,image scene and topic,"Which of the following captions best describes this image?
Options: A: A person holding a bouquet of flowers, B: A group of people eating at a restaurant, C: A person playing with a pet dog, D: A woman getting a pedicure at a salon",D,0.4166666666666667
72,coarse perception,image scene and topic,"What is the main focus of the image?
Options: A: The wooden frame with a variety of plants, B: The mirrors and frames on the wall, C: The planter hanging on the wooden wall, D: The color scheme of the image",C,0.4166666666666667
155,coarse perception,image scene and topic,"Which one is the correct caption of this image?
Options: A: a messy bed room a bed a chair and boxes, B: A woman laying in bed next to a large stuffed animal., C: A tennis player resting on the floor under a hat., D: Odd plant and flower arrangement in a vase.",A,0.4166666666666667
400,fine-grained perception,recognition,"What is the color of the writing in the image?
Options: A: White, B: Black, C: Red, D: Blue",A,0.4166666666666667
193,coarse perception,image style & quality,"what style is depicted in this image?
Options: A: impressionism, B: post-Impressionism, C: modernism, D: dadaism",B,0.4166666666666667
358,fine-grained perception,recognition,"What color is the hair of the woman in the image?
Options: A: Black, B: Brown, C: Red, D: Blonde",A,0.4166666666666667
360,fine-grained perception,recognition,"What color is the microphone in the image?
Options: A: Silver, B: White, C: Black, D: Red",C,0.4166666666666667
315,fine-grained perception,object counting,"How many tables are there in the room?
Options: A: Four tables, B: Two tables, C: Three tables, D: One table",D,0.4166666666666667
307,fine-grained perception,object counting,"How many pillows can be seen in the bedroom?
Options: A: 5, B: 4, C: 3, D: 6",B,0.4166666666666667
239,fine-grained perception,localization,"where is the cat?
Options: A: top-right, B: top-left, C: bottom-left, D: bottom-right",B,0.4166666666666667
236,fine-grained perception,localization,"Which object is located in the center of the image?
Options: A: The wooden doll, B: The cartoon family, C: The porcelain figurine, D: The film character",B,0.4166666666666667
260,fine-grained perception,object counting,"How many colors are the eyes of the depicted animals?
Options: A: Two, B: One, C: Three, D: Four",B,0.4166666666666667
337,fine-grained perception,recognition,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Look at the following schedule. Which activity begins at 11.50 A.M.?'
Choices:
(A) figure skating practice
(B) private class
(C) adult class
(D) children's class",D,0.4166666666666667
431,fine-grained perception,recognition,"What type of ball is being held by the player?
Options: A: A tennis ball, B: A basketball, C: A volleyball, D: A soccer ball",A,0.4166666666666667
212,fine-grained perception,localization,"What is the position of the person on stage?
Options: A: Standing on the left side, B: Seated in the center, C: Sitting on the floor in front, D: Leaning on the guitar on the right side",B,0.4166666666666667
439,fine-grained perception,recognition,"Which image shows the highest contrast?
Options: A: upper left, B: upper right, C: down left, D: down right",A,0.4166666666666667
219,fine-grained perception,localization,"Where is it?
Options: A: Shanghai, B: Xi'an, C: Wuhan, D: Nanjing",B,0.4166666666666667
15,coarse perception,image emotion,"Which mood does this image convey?
Options: A: Sad, B: Anxious, C: Happy, D: Angry",A,0.4166666666666667
27,coarse perception,image scene and topic,"Can you identify the season in which the picture was taken?
Options: A: spring, B: summer, C: fall, D: winter",D,0.4166666666666667
1411,science & technology,geography & earth science & agriculture,"Which label indicates the earth's gravitational pull on the moon?
Options: A: D, B: A, C: B, D: E",A,0.4
1277,science & technology,biology & chemistry & physics,"What would happen to the kelp if the coastal fishes were extinct?
Options: A: stay the same, B: increase, C: can't predict, D: decrease",B,0.4
844,logical reasoning,diagram reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In how many years, is the under-5 male mortality rate greater than the average under-5 male mortality rate taken over all years ?
Choices:
(A) 0
(B) 1
(C) 2
(D) 3",B,0.4
889,logical reasoning,diagram reasoning,"Think about the magnetic force between the magnets in each pair. Which of the following statements is true?
Options: A: The magnitude of the magnetic force is smaller in Pair 2., B: The magnitude of the magnetic force is the same in both pairs., C: The magnitude of the magnetic force is smaller in Pair 1., D: nan",A,0.4
893,logical reasoning,diagram reasoning,"What are the dangers degree represented by yellow, blue, and orange in <image 1>?
Options: A: Vulnerable, Endangered, Critical, B: Endangered, Critical, Vulnerable, C: Critical, Vulnerable, Endangered, D: nan",A,0.4
1397,science & technology,geography & earth science & agriculture,"What stage of the Earth's orbit is shown at letter F?
Options: A: December Solstice, B: September Equinox, C: June Solstice, D: March Equinox",B,0.4
1050,math,numeric commonsense and calculation,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Are there more tiny motorbikes in front of the small cyan tandem bike than big cyan metal double buss?
Choices:
(A) Yes
(B) No
(C) nan
(D) nan",A,0.4
1082,math,numeric commonsense and calculation,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: what is the total volume of the measuring cup? (Unit: g)
Choices:
(A) 1000
(B) 2000
(C) 800
(D) 1200",A,0.4
1073,math,numeric commonsense and calculation,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the highest value in states that border West Virginia ?
Choices:
(A) 43.2%-63.6%
(B) 45.2%-65.6%
(C) 42.2%-62.6%
(D) 41.2%-61.6%",C,0.4
1074,math,numeric commonsense and calculation,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What number is shown?
Choices:
(A) 7909
(B) 9999
(C) 9099
(D) 9079",D,0.4
1064,math,numeric commonsense and calculation,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Move the ruler to measure the length of the nail to the nearest inch. The nail is about (_) inches long.
Choices:
(A) 3
(B) 1
(C) 2
(D) 4",C,0.4
741,logical reasoning,common reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Subtract all large brown matte balls. Subtract all blue cylinders. How many objects are left?
Choices:
(A) 0
(B) 2
(C) 1
(D) 3",B,0.4
734,logical reasoning,common reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Move the ruler to measure the length of the line to the nearest centimeter. The line is about (_) centimeters long.
Choices:
(A) 6
(B) 4
(C) 2
(D) 3",B,0.4
687,logical reasoning,code & sequence reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Choose the answer for the missing picture.
Choices:
(A) A
(B) B
(C) C
(D) D",A,0.4
181,coarse perception,image style & quality,"Which image is more brightful?
Options: A: The first image, B: The second image, C: nan, D: nan",B,0.4
1110,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: A taxi cab driver tracked how many miles he drove each month. How many miles did the taxi cab driver drive in total in January and April? (Unit: miles)
Choices:
(A) 8773
(B) 7873
(C) 7833
(D) 7777",B,0.4
1115,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: For an economics project, Colleen determined the cost of ferry rides for bicycles and cars. How much higher is the fare for a car on the Mukilteu-Clinton ferry than on the Southport-Fort Fisher ferry? (Unit: $)
Choices:
(A) 0
(B) 1
(C) 2
(D) 4",C,0.4
1039,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，点A、C在∠FBD的两条边BF、BD上，BE平分∠FBD，CE平分∠ACD，连接AE，若∠BEC＝35°，则∠FAE的度数为（）
Choices:
(A) 35°
(B) 45°
(C) 55°
(D) 65°",C,0.4
1042,math,geometry,"Hint: Please answer the question requiring a floating-point number with two decimal places and provide the final value, e.g., 1.23, 1.34, 1.45, at the end.
Question: Figure 23-42 is a section of a conducting rod of radius $R_1=1.30 \mathrm{~mm}$ and length $L=$ $11.00 \mathrm{~m}$ inside a thin-walled coaxial conducting cylindrical shell of radius $R_2=10.0 R_1$ and the (same) length $L$. The net charge on the rod is $Q_1=+3.40 \times 10^{-12} \mathrm{C}$; that on the shell is $Q_2=-2.00 Q_1$. What is the magnitude $E$ of the electric field at radial distance $r=2.00 R_2$?
Choices:
(A) -0.21
(B) 0.21
(C) 21
(D) 0",B,0.4
1054,math,numeric commonsense and calculation,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Find out the average of the bottom two countries ?
Choices:
(A) 51.04
(B) 52
(C) 60.4
(D) 32.04",A,0.4
1084,math,numeric commonsense and calculation,"Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: What number is shown?
Choices:
(A) 40
(B) 38
(C) 42
(D) 34",B,0.4
1088,math,numeric commonsense and calculation,"Which formula has the same calculation result with the formula in the figure?
Options: A: (a+b)*(a-b), B: (a+b)*(a+b), C: (a-b)*(a-b), D: a-b",A,0.4
1081,math,numeric commonsense and calculation,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: what is the highest number shown on the black outer part of the watch?
(A) 54
(B) 55
(C) 60
(D) 57",B,0.4
780,logical reasoning,common reasoning,"What is the age range of the people shown in the picture?
Options: A: All adults, B: Two adults and one child, C: One child and one adult, D: Two children and one adult",C,0.4
1020,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: △ABC的两内角平分线OB、OC相交于点O，若∠A＝110°，则∠BOC＝（）
Choices:
(A) 145°
(B) 140°
(C) 135°
(D) 150°",A,0.4
950,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, in Rt△ABC, ∠C = 90.0, AC = 4.0, AB = 5.0, then the value of sinB is ()
Choices:
(A) \frac{2}{3}
(B) \frac{3}{5}
(C) \frac{3}{4}
(D) \frac{4}{5}",D,0.4
971,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Find $m \angle N C L$
Choices:
(A) 60
(B) 120
(C) 240
(D) 360",B,0.4
961,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the light source P is directly above the crossbar AB, the shadow of AB under the light is CD, AB ∥ CD, AB = 2.0, CD = 5.0, the distance between point P and CD is 3.0, then the distance between AB and CD is ().
Choices:
(A) \frac{6}{5}
(B) \frac{7}{6}
(C) \frac{9}{5}
(D) \frac{15}{2}",C,0.4
990,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the figure above, ABCDEF is a regular hexagon, and its center is point O. What is the value of x?
Choices:
(A) 80
(B) 60
(C) 40
(D) 30",B,0.4
979,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Find x to the nearest tenth. Assume that segments that appear to be tangent are tangent.
Choices:
(A) 7.2
(B) 8
(C) 12
(D) 15",A,0.4
1010,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the perimeter of the rectangle?
Choices:
(A) 0
(B) 10
(C) 12
(D) 1",B,0.4
999,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The derivative of f(x) at x=0 is ____ that at x=5
Choices:
(A) larger than
(B) equal to
(C) smaller than
(D) nan",C,0.4
935,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: A spaceship of mass $m=4.50 \times 10^3 \mathrm{~kg}$ is in a circular Earth orbit of radius $r=8.00 \times 10^6 \mathrm{~m}$ and period $T_0=118.6 \mathrm{~min}=$ $7.119 \times 10^3 \mathrm{~s}$ when a thruster is fired in the forward direction to decrease the speed to $96.0 \%$ of the original speed. What is the period $T$ of the resulting elliptical orbit (Figure)?
Choices:
(A) 4.6
(B) 6.5
(C) 6.36
(D) 8.66",C,0.4
944,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, D and E are the points on the edges AB and AC of △ABC, DE ∥ BC, if AD:DB=1.0:3.0, AE = 2.0, then the length of AC is ()
Choices:
(A) 10
(B) 8
(C) 6
(D) 4",B,0.4
758,logical reasoning,common reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What percentage of trees have leaves?
(A) 40
(B) 50
(C) 60
(D) 70",B,0.4
1005,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the limit as x approaches -1?
Choices:
(A) 6
(B) 1
(C) 3
(D) 4",C,0.4
1008,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the maximum value of this function?
Choices:
(A) 0
(B) 2
(C) -1
(D) 1",D,0.4
1137,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Look at the table. Then answer the question. At a price of $330, is there a shortage or a surplus?'
Choices:
(A) shortage
(B) surplus
(C) nan
(D) nan",A,0.4
1139,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Some friends compared the sizes of their stuffed animal collections. What is the median of the numbers?'
Choices:
(A) 10
(B) 9
(C) 8
(D) 7",B,0.4
1119,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: How many people prefer the most preferred object?
Choices:
(A) 4
(B) 5
(C) 7
(D) 3",C,0.4
1154,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the sum of the accuracies of the algorithms fat and acre?
Choices:
(A) 8
(B) 15
(C) 9
(D) 12",C,0.4
1158,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the total percentage of people  who say that they do either less or more often than the usual amount of exercise during the coronavirus pandemic in the United States as of April 2020?
Choices:
(A) 40
(B) 41
(C) 42
(D) 44",D,0.4
