,image_id,question_id,question_type,question,answers,multiple_choice_answer,answer_type,pid,output,answer_similarity,correct,model,condition,meta_model,﻿question_num,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,answer_original,answer_raw,answer_normalized,gt_answers,visual_gt,base_model,model_size,training_stage,training_objective,training_data_condition,training_dataset,blind_n,evaluation_model_type,model_display
876,COCO_val2014_000000330955.jpg,330955003,what is on the,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What is on the kids head? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'sunglasses', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'sunglasses', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'sunglasses', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'sunglasses', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'sunglasses', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'sunglasses', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'sunglasses', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'sunglasses', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'sunglasses', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'sunglasses', 'answer_confidence': 'yes', 'answer_id': 10}]",sunglasses,other,876.0,Hat,34.7,0.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
880,COCO_val2014_000000028682.jpg,28682012,is there a,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is there a kettle on the stove? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",no,yes/no,880.0,No,100.0,100.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
882,COCO_val2014_000000453649.jpg,453649001,what are the,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What are the zebras eating? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'grass', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'grass', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'grass', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'grass', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'grass', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'grass', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'grass', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'grass', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'grass', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'grass', 'answer_confidence': 'yes', 'answer_id': 10}]",grass,other,882.0,Grass,100.0,100.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
883,COCO_val2014_000000490741.jpg,490741003,is it,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is it a cloudy day? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",no,yes/no,883.0,Yes,73.4,100.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
884,COCO_val2014_000000408201.jpg,408201006,what are,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What are they playing? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'app game', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': 'tetris', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'phones', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'cell phones', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'game', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'phone games', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'phones', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'cell phones', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'game', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'games', 'answer_confidence': 'yes', 'answer_id': 10}]",cell phones,other,884.0,Video game,70.2,0.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
885,COCO_val2014_000000504561.jpg,504561001,how many,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: How many women? Answer the question using a single word or phrase. 
Answer:","[{'answer': '1', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 10}]",1,number,885.0,0,62.1,0.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
892,COCO_val2014_000000254237.jpg,254237002,what is in the,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What is in the vase? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'roses', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'pink flowers', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'flowers', 'answer_confidence': 'yes', 'answer_id': 10}]",flowers,other,892.0,Flowers,100.0,100.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
893,COCO_val2014_000000125201.jpg,125201004,what is the,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What is the time? Answer the question using a single word or phrase. 
Answer:","[{'answer': '1:30', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '1:30', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '1:30', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '1:30', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '1:30', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': '1:30', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '1:30 pm', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '1:32', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '1:30', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '1:30', 'answer_confidence': 'yes', 'answer_id': 10}]",1:30,number,893.0,12:00,65.2,0.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
895,COCO_val2014_000000346633.jpg,346633003,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this food raw? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",no,yes/no,895.0,No,100.0,100.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
899,COCO_val2014_000000133933.jpg,133933006,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this someone's house? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,899.0,No,73.4,0.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
901,COCO_val2014_000000477805.jpg,477805035,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this man wearing all black? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 10}]",yes,yes/no,901.0,Yes,100.0,100.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
902,COCO_val2014_000000000589.jpg,589013,none of the above,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Approximately what time of day is it? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'evening', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': 'night', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '10 pm', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': '9', 'answer_confidence': 'no', 'answer_id': 4}, {'answer': 'night', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'night', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': '11 pm', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': '9', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '9:00 pm', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '900', 'answer_confidence': 'no', 'answer_id': 10}]",night,number,902.0,Night,100.0,100.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
903,COCO_val2014_000000521669.jpg,521669001,what is the man,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What is the man holding in his hand? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'phone', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': 'phone', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'phone', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'shot', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'cell phone', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'cell phone', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'gun', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'cup', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'glass', 'answer_confidence': 'yes', 'answer_id': 10}]",phone,other,903.0,Nothing,33.0,0.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
905,COCO_val2014_000000479762.jpg,479762007,what,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What colors are these zebra stripes? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'black and white', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'black and white', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'black', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'black and white', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'black', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'black and white', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'black', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'black/white', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'black and white', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'black and white', 'answer_confidence': 'maybe', 'answer_id': 10}]",black and white,other,905.0,Black and white,100.0,100.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
906,COCO_val2014_000000563730.jpg,563730000,what color is the,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What color is the fork? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'green', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'green', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'green', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'green', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'green', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'green', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'green', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'green', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'green', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'green', 'answer_confidence': 'yes', 'answer_id': 10}]",green,other,906.0,Silver,44.3,0.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
908,COCO_val2014_000000572028.jpg,572028008,what kind of,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What kind of animals are these? Answer the question using a single word or phrase. 
Answer:","[{'answer': ""zebra's and deer"", 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'zebras and deer', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'zebras and deer', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'zebras and antelopes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'zebra and antelope', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'zebras and antelopes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'zebras and gazelles', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'zebras and deer', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'african mammals', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'zebra, deer', 'answer_confidence': 'yes', 'answer_id': 10}]",zebras and deer,other,908.0,None,13.8,0.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
910,COCO_val2014_000000145318.jpg,145318003,are the,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Are the utensils plastic or metal? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'paper', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 10}]",plastic,other,910.0,Plastic,100.0,100.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
912,COCO_val2014_000000336341.jpg,336341002,is he,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is he wearing blush? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,912.0,No,100.0,100.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
914,COCO_val2014_000000224595.jpg,224595001,is the,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is the plane flying? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",no,yes/no,914.0,Yes,73.4,0.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
917,COCO_val2014_000000316596.jpg,316596001,what is the,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What is the cake sitting on? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'aluminum foil', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'plate', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'foil', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'foil', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'tin foil', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'aluminum foil', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'foil', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'table', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'aluminum foil', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'foil', 'answer_confidence': 'yes', 'answer_id': 10}]",foil,other,917.0,Table,21.1,33.3,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
923,COCO_val2014_000000333290.jpg,333290003,is the,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is the giraffe taller than the light post? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 10}]",no,yes/no,923.0,Yes,73.4,100.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
924,COCO_val2014_000000237118.jpg,237118000,is this,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Is this man angry? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",no,yes/no,924.0,No,100.0,100.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
928,COCO_val2014_000000360610.jpg,360610003,what,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: What game are the two people playing? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'frisbee', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'frisbee', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'frisbee', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'frisbee', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'frisbee', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'frisbee', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'frisbee', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'frisbee', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'flying kites', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'frisbee', 'answer_confidence': 'yes', 'answer_id': 10}]",frisbee,other,928.0,None,16.5,0.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
929,COCO_val2014_000000076384.jpg,76384019,are there any,"
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Question: Are there any utensils shown? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,yes/no,929.0,No,73.4,0.0,LLaVA‑Mistral‑7B,inst blind,open-source model,,,,,,,,,,,,LLaVA,7.0,pretrained,none,multimodal,none,,model,LLaVA-7B | Pretrained
