index	question	image	answer	category	l2_category	meta_info	image_path	A	B	C	D
198	Which image is more brightful?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x192 at 0x7109C46F9B40>	B	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/197.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
199	which image is more colorful?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x192 at 0x7109C46F9030>	B	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/198.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
200	which image is more colorful?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x192 at 0x7109C46FA500>	B	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/199.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
201	Which image is more brightful?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x192 at 0x7109C46FAE90>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/200.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
202	Which image is more brightful?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x192 at 0x7109C46F8CA0>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/201.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
203	what emotion does this emoji express?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=160x160 at 0x7109C46FBF70>	B	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/202.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
204	what style is this painting?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=220x360 at 0x7109C46FB3D0>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/203.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
205	Which is the main topic of the image	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x274 at 0x7109C46F90C0>	B	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/204.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
206	Which scene category matches this image the best?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x7109C46FA7D0>	B	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/205.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
207	What motion this image want to convey?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=275x183 at 0x7109C46F9B40>	C	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/206.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
208	Which image is more brightful?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x192 at 0x7109C46F9030>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/207.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
209	What type of environment is depicted in the picture?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46FA500>	C	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/208.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
210	Can you identify the season in which the picture was taken?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x344 at 0x7109C46FAE90>	A	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/209.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
211	Can you identify the season in which the picture was taken?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46F8CA0>	B	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/210.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
212	Can you identify the season in which the picture was taken?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46FBF70>	A	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/211.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
213	Which mood does this image convey?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x347 at 0x7109C46FB3D0>	A	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/212.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
214	What kind of weather is depicted in the picture?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46F90C0>	A	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/213.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
215	Can you identify the season in which the picture was taken?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46FA7D0>	D	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/214.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
216	what style is depicted in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=307x420 at 0x7109C46F9B40>	D	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/215.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
217	Which image is more brightful?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x192 at 0x7109C46F9030>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/216.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
218	Which one is the correct caption of this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46FA500>	A	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/217.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
219	Which category does this image belong to?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x423 at 0x7109C46FAE90>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/218.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
220	Which category does this image belong to?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x512 at 0x7109C46F8CA0>	D	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/219.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
221	Which mood does this image convey?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=424x283 at 0x7109C46FBF70>	C	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/220.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
222	What emotion is portrayed in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x225 at 0x7109C46FB3D0>	C	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/221.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
223	What style does this image represent?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=509x512 at 0x7109C46F90C0>	B	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/222.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
224	Which mood does this image convey?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46FA7D0>	D	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/223.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
225	Which one is the correct caption of this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F9B40>	D	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/224.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
226	Which scene category matches this image the best?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x7109C46F9030>	B	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/225.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
227	Which mood does this image convey?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=268x285 at 0x7109C46FA500>	C	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/226.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
228	Which of the following captions best describes this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46FAE90>	B	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/227.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
229	Which category does this image belong to?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=231x315 at 0x7109C46F8CA0>	D	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/228.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
230	What kind of human behavior does this picture describe?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=485x512 at 0x7109C46FBF70>	C	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/229.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
231	Which category does this image belong to?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=409x413 at 0x7109C46FB3D0>	B	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/230.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
232	Which category does this image belong to?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=286x386 at 0x7109C46F90C0>	C	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/231.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
233	Which category does this image belong to?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=328x391 at 0x7109C46FA7D0>	D	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/232.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
234	what style is this painting?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=300x140 at 0x7109C46F9B40>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/233.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
235	Which of the following captions best describes this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46F9030>	D	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/234.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
236	what style is this painting?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x414 at 0x7109C46FA500>	D	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/235.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
237	what style is this painting?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x301 at 0x7109C46FAE90>	D	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/236.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
238	what style is this painting?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=225x225 at 0x7109C46F8CA0>	D	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/237.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
239	Which category does this image belong to?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x366 at 0x7109C46FBF70>	D	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/238.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
240	Which category does this image belong to?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x382 at 0x7109C46FB3D0>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/239.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
241	Which category does this image belong to?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x373 at 0x7109C46F90C0>	D	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/240.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
242	Which of the following captions best describes this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46FA7D0>	D	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/241.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
243	Which of the following captions best describes this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46F9B40>	A	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/242.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
244	Which of the following captions best describes this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F9030>	A	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/243.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
245	Which category does this image belong to?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=428x414 at 0x7109C46FA500>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/244.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
246	Which category does this image belong to?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x421 at 0x7109C46FAE90>	C	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/245.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
247	what style is depicted in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=319x405 at 0x7109C46F8CA0>	D	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/246.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
248	Which category does this image belong to?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=325x371 at 0x7109C46FBF70>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/247.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
249	Which mood does this image convey?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=394x270 at 0x7109C46FB3D0>	B	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/248.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
250	Which mood does this image convey?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x373 at 0x7109C46F90C0>	A	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/249.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
251	What type of family is shown in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=319x512 at 0x7109C46FA7D0>	D	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/250.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
252	How many people are playing music in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46F9B40>	D	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/251.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
253	What is the color of the sheep in the foreground?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x340 at 0x7109C46F9030>	B	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/252.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
254	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the sum of 2002, 2003 and 2004? Choices: (A) 40.7 (B) 74 (C) 70.4 (D) 70.0	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x557 at 0x7109C46FA500>	C	fine-grained perception	object counting	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/253.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
255	How many windows are in the living room?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x288 at 0x7109C46FAE90>	C	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/254.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
256	Which image shows the highest contrast?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x385 at 0x7109C46F8CA0>	A	fine-grained perception	recognition	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/255.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
257	Which scene category matches this image the best?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x7109C46FBF70>	C	fine-grained perception	recognition	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/256.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
258	What is the position of the catcher relative to the home plate?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x344 at 0x7109C46FB3D0>	A	fine-grained perception	localization	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/257.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
259	What color are the walls in the bathroom?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F90C0>	C	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/258.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
260	In the given image, in which direction is the pier facing?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=384x512 at 0x7109C46FA7D0>	A	fine-grained perception	localization	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/259.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
261	What color is the predominant color of the helmets worn by the football players in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x512 at 0x7109C46F9B40>	D	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/260.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
262	What is the number of pillows on the bed in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F9030>	B	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/261.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
263	What type of lighting fixtures are present in the bedroom?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=384x512 at 0x7109C46FA500>	D	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/262.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
264	How many boats are in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x455 at 0x7109C46FAE90>	D	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/263.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
265	Which woman has dark hair in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x354 at 0x7109C46F8CA0>	A	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/264.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
266	How many gloves can be seen in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46FBF70>	C	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/265.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
267	How many people are playing guitar in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46FB3D0>	C	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/266.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
268	How many chairs are there on the balcony in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F90C0>	B	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/267.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
269	How many tree stumps are there in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x375 at 0x7109C46FA7D0>	A	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/268.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
270	What is the subject of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x377 at 0x7109C46F9B40>	D	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/269.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
271	What is the color of the roof of the building in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7109C46F9030>	B	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/270.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
272	What is the color of the shirt worn by the baseball player standing on the right side of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x378 at 0x7109C46FA500>	B	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/271.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
273	What is the primary surface of the playing field in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x410 at 0x7109C46FAE90>	C	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/272.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
274	How many dressers are visible in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F8CA0>	A	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/273.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
275	How many people are seen playing music in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46FBF70>	D	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/274.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
276	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the different between the highest unemployment rate and the lowest? Choices: (A) 50 (B) 105.3 (C) 10.53 (D) 10	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x557 at 0x7109C46FB3D0>	C	fine-grained perception	recognition	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/275.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
277	What is the dominant color in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x366 at 0x7109C46F90C0>	B	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/276.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
278	How many vases are in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=397x512 at 0x7109C46FA7D0>	B	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/277.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
279	How many people are visible in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x322 at 0x7109C46F9B40>	C	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/278.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
280	Which object is closest to the center of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F9030>	A	fine-grained perception	localization	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/279.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
281	What is the dominant color of the person's shirt in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x312 at 0x7109C46FA500>	D	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/280.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
282	What shape is the ottoman in the living room?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=301x512 at 0x7109C46FAE90>	D	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/281.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
283	What color is the awning in front of the store in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46F8CA0>	B	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/282.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
284	How many women are present in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46FBF70>	C	fine-grained perception	object counting	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/283.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
285	What is the position of the red rug in the living room?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46FB3D0>	A	fine-grained perception	localization	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/284.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
286	Where is the seated person visible in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x389 at 0x7109C46F90C0>	C	fine-grained perception	localization	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/285.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
287	What is the position of the sheep's legs in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=393x512 at 0x7109C46FA7D0>	B	fine-grained perception	localization	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/286.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
288	What is the color of the sandals in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x512 at 0x7109C46F9B40>	B	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/287.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
289	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the age gap between the leftmost and the center person? (Unit: years) Choices: (A) 0 (B) 1 (C) 2 (D) 4	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=338x225 at 0x7109C46F9030>	D	fine-grained perception	recognition	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/288.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
290	How many people are performing on the stage?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46FA500>	D	fine-grained perception	recognition	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/289.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
