qid,category,l2_category,question_en,options,answer_type,question_kr,answer,score,index,question_type,image_id,answers,multiple_choice_answer
306,fine-grained perception,object counting,How many pillows are on the bed closest to the window?,"A: 0, B: 1, C: 3, D: 2",choice,가장 가까운 침대에 있는 베개는 몇 개인가요?,,,,,,,
359,fine-grained perception,recognition,What color is the horse in the image?,"A: Black 검은색, B: Brown 갈색, C: Grey 회색, D: White 흰색",choice,이미지 속의 말은 무슨 색인가요?,,,,,,,
180,coarse perception,image style & quality,Which image is more brightful?,"A: The first image 첫 번째 이미지, B: The second image 두 번째 이미지, C: nan, D: nan",choice,어떤 이미지가 더 밝습니까?,,,,,,,
405,fine-grained perception,recognition,What is the gender of the person playing the keyboard?,"A: Multiple persons are playing the keyboard 키보드를 연주하는 여러 명의 사람들, B: Female 여성, C: Cannot determine due to insufficient information 정보가 불충분하여 판단할 수 없습니다, D: Male 남성",choice,키보드를 연주하는 사람의 성별은 무엇입니까?,,,,,,,
48,coarse perception,image scene and topic,What is the dominant color of the room?,"A: White 흰색, B: Green 초록색, C: Blue 파란색, D: Red 빨간색",choice,방의 주된 색은 무엇인가요?,,,,,,,
652,instance reasoning,single-instance reasoning,What's the profession of the people in this picture?,"A: mason 석공, B: plumber 배관공, C: pilot 조종사, D: police 경찰",choice,이 사진 속 사람들의 직업은 무엇입니까?,,,,,,,
771,logical reasoning,common reasoning,Is the man wearing a hat?,"A: There is a design on his head, but no hat 그의 머리에 디자인이 있지만 모자는 없다, B: No 아니요, C: Can't be determined 확정할 수 없다, D: Yes 예",choice,그 남자가 모자를 쓰고 있나요?,,,,,,,
885,logical reasoning,diagram reasoning,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"A: The magnetic force is weaker in Pair 2. 쌍 2에서 자기력이 더 약하다., B: The strength of the magnetic force is the same in both pairs. 두 쌍 모두에서 자기력의 크기는 같다., C: The magnetic force is weaker in Pair 1. 쌍 1에서 자기력이 더 약하다., D: nan",choice,자석 사이의 자기력에 대해 생각해 보세요.,,,,,,,
490,instance reasoning,cross-instance attribute reasoning,What is the relative position of the brown horse to the man in the image?,"A: The horse is behind the man 말은 남자 뒤에 있다, B: The horse is in front of the man 말은 남자 앞에 있다, C: The horse is under the man 말은 남자 아래에 있다, D: The horse is beside the man 말은 남자 옆에 있다",choice,갈색 말의 상대 위치는 무엇입니까?,,,,,,,
515,instance reasoning,cross-instance attribute reasoning,Which of the following statements match the image?,"A: A gray circle is to the left of a cyan shape. 회색 원이 시안색 도형의 왼쪽에 있다., B: A cyan square is to the left of a gray circle. 시안색 정사각형이 회색 원의 왼쪽에 있다., C: A cyan ellipse is to the right of a gray circle. 시안색 타원형이 회색 원의 오른쪽에 있다., D: A cyan circle is to the right of a circle. 시안색 원이 원의 오른쪽에 있다.",choice,다음 진술들 중 이미지와 일치하는 것은 무엇입니까?,,,,,,,
39,coarse perception,image scene and topic,What is the color theme of the bathroom?,"A: Gray and white 회색과 흰색, B: Beige and white 베이지색과 흰색, C: Black and white 검은색과 흰색, D: Brown and white 갈색과 흰색",choice,욕실의 색상 테마는 무엇입니까?,,,,,,,
138,coarse perception,image scene and topic,Which is the main topic of the image,"A: A boy skiting 소년이 스케이트를 타고 있는, B: A girl skiting 소녀가 스케이트를 타고 있는, C: A man skiting 남자가 스케이트를 타고 있는, D: A woman skiting 여성이 스케이트를 타고 있는",choice,이미지의 주요 주제는 무엇인가요?,,,,,,,
226,fine-grained perception,localization,Where is the person in the Alice in Wonderland costume located?,"A: In the middle of the image 이미지의 중앙에, B: Close to the right side of the image 이미지의 오른쪽 가장자리 근처에, C: Close to the left side of the image 이미지의 왼쪽 가장자리 근처에, D: At the bottom of the image 이미지의 하단에",choice,이상한 나라의 앨리스에서 그 사람은 어디에 있나요?,,,,,,,
498,instance reasoning,cross-instance attribute reasoning,What is the relative position of the two people playing guitars?,"A: They are standing next to each other against a wall 그들은 벽에 기대어 서로 나란히 서 있다, B: They are sitting on opposite sides of a table 탁자 양쪽에 앉아 있다, C: They are sitting facing each other next to a window 창가 옆에서 서로 마주 보고 앉아 있다, D: They are standing far away from each other on a stage 무대 위에서 서로 멀리 떨어져 서 있다",choice,두 사람의 상대적인 위치는 무엇입니까?,,,,,,,
341,fine-grained perception,recognition,How can you best describe the pillow on the chair?,"A: Plain white 흰색, B: Colorful and striped 다채롭고 줄무늬가 있는, C: Solid blue 단색 파란색, D: Floral pattern 꽃무늬",choice,의자 위의 베개를 가장 잘 설명하는 방법은 무엇입니까?,,,,,,,
721,logical reasoning,common reasoning,Approximately what proportion of the picture is occupied by the bus in the image?,"A: 0.8, B: 100%, C: 0.6, D: 0.3",choice,그림에서 버스가 대략 어느 정도를 차지합니까?,,,,,,,
594,instance reasoning,single-instance reasoning,The object shown in this figure:,"A: Is a colorless and odorless gas 무색이고 냄새가 없는 기체이다, B: Has a boiling point of -161°C 끓는점이 -161°C이다, C: Is a greenhouse gas that contributes to climate change 기후 변화에 기여하는 온실가스이다, D: None of these options are correct 이 중 옳은 것은 없다.",choice,이 그림에 보이는 물체는:,,,,,,,
813,logical reasoning,common reasoning,Which can be the associated text with this image posted on twitter,"A: if anyone has super mario maker 2, make sure to stop by my account and play a few of my levels. most of these levels are from 4-1 years ago, tho, i do have a super world in the works!, 만약 누군가가 슈퍼 마리오 메이커 2를 가지고 있다면 제 계정에 들러 제 레벨 중 몇 개를 플레이해 보세요. 이 레벨들 중 대부분은 4년에서 1년 전의 것들이에요, 다만 제가 작업 중인 슈퍼 월드가 있습니다!, B: 2017年10月27日発売のNintendo Switchソフト『スーパーマリオ オデッセイ』の公式アカウントです。3Dマリオ最新作『スーパーマリオ オデッセイ』に関するゲーム情報やお知らせをディレクターの元倉がお伝えします。 ※ご質問・お問い合わせにはお答えしておりませんのでご容赦ください。, 2017년 10월 27일 발매된 닌텐도 스위치 소프트웨어 『슈퍼 마리오 오디세이』의 공식 계정입니다. 3D 마리오 최신작 『슈퍼 마리오 오디세이』에 관한 게임 정보나 공지를 디렉터 모토쿠라가 전합니다. ※질문·문의에는 답변하지 않으므로 양해 부탁드립니다., C: happy tears of the kingdom day!! #kirby #zelda, 왕국의 날에 행복한 눈물!! #kirby #zelda, D: See You In July - Kirby Gamble Galaxy Stories #Kirby #Nintendo #Gamedev #GameDesign #カービィ #星のカービィ #Fangame #Fanart #IndieDev #GameMaker #gamedevelopment #Fanart, 7월에 다시 만나요 - 커비 갬블 갤럭시 스토리 #Kirby #Nintendo #Gamedev #GameDesign #カービィ #星のカービィ #Fangame #Fanart #IndieDev #GameMaker #gamedevelopment #Fanart",choice,다음 이미지에 연결될 수 있는 텍스트는 무엇입니까?,,,,,,,
588,instance reasoning,single-instance reasoning,How many people are in the car in the image?,"A: 3, B: 5, C: 4, D: 6",choice,이미지 속 자동차 안에 몇 명이 있나요?,,,,,,,
151,coarse perception,image scene and topic,Which of the following objects is the closest to the apple in the image?,"A: Grilled caramel apple crunch on tin foil 알루미늄 포일 위의 구운 카라멜 사과 크런치, B: Small jar in the middle 가운데 작은 병, C: White and black wax paper 흰색과 검은색 왁스페이퍼, D: None of the above 위의 어느 것도 아니다",choice,다음 중 어떤 물체가 가장 가까운가요?,,,,,,,
214,fine-grained perception,localization,What is the position of the red rug in the living room?,"A: Under the couch 소파 아래에, , B: In front of the sliding glass door 슬라이딩 유리문 앞에, C: Under the table 탁자 아래에, D: In the corner of the room 방의 구석에",choice,거실에서 빨간색 양탄자의 위치는 어디인가요?,,,,,,,
119,coarse perception,image scene and topic,What kind of environment is depicted in the image?,"A: A historical site 역사적 장소, B: A religious location 종교적 장소, C: A residential area 주거 지역, D: A garden 정원",choice,이미지에 묘사된 환경은 어떤 종류입니까?,,,,,,,
472,instance reasoning,cross-instance attribute reasoning,What direction is Syria in the Mediterranean Sea?,"A: east 동, B: south 남, C: west 서, D: north 북",choice,시리아는 지중해에서 어느 방향에 있습니까?,,,,,,,
193,coarse perception,image style & quality,what style is depicted in this image?,"A: impressionism 인상주의, B: post-Impressionism 후기 인상주의, C: modernism 모더니즘, D: dadaism 다다이즘",choice,이 이미지에 묘사된 스타일은 무엇입니까?,,,,,,,
95,coarse perception,image scene and topic,What is the predominant color in the image?,"A: White 흰색, B: Red 빨간색, C: Blue 파란색, D: Silver 은색",choice,이미지에서 지배적인 색상은 무엇입니까?,,,,,,,
898,logical reasoning,diagram reasoning,What is the name of the colony shown?,"A: New York 뉴욕 주, B: Connecticut 코네티컷 주 , C: New Hampshire 뉴햄프셔 주, D: Massachusetts 매사추세츠 주",choice,보여진 식민지의 이름은 무엇입니까?,,,,,,,
437,fine-grained perception,recognition,Which can be the associated text with this image posted on twitter,"A: Morning: Memeland Evening: Jay Chou 7 sold out nights in #hongkong #JayChou  아침: Memeland 저녁: Jay Chou 홍콩에서 매진된 7개의 밤 #hongkong #JayChou, B: We will be streaming our Mayday [ Live In the Sky ] online concert tomorrow night: http://bit.ly/YTBinMusic . We go on at 20:00 (GMT+8) May 31st. See you online then.  내일 밤 우리 Mayday [ Live In the Sky ] 온라인 콘서트를 스트리밍할 예정: http://bit.ly/YTBinMusic . 5월 31일 20:00 (GMT+8)에 시작합니다. 그때 온라인에서 뵙겠습니다., C: my little airport 🫶🏼  내 작은 공항 🫶🏼, D: Run to Victoria Harbor at night😅  밤에 빅토리아 하버로 달리기 😅",choice,다음 중 이 이미지와 연결될 수 있는 텍스트는 무엇입니까?,,,,,,,
296,fine-grained perception,object counting,How many people are there in the image?,"A: 0, B: 1, C: 2, D: 3",choice,이미지에 몇 명이 있나요?,,,,,,,
169,coarse perception,image style & quality,Which category does this image belong to?,"A: MRI image MRI 이미지, B: icon 아이콘, C: microscopic image 현미경 이미지, D: abstract painting 추상화",choice,이 이미지는 어떤 범주에 속하나요?,,,,,,,
627,instance reasoning,single-instance reasoning,What's the function of the demonstrated object?,"A: display information in pictorial or textual form 그림이나 텍스트 형태로 정보를 표시, B: project images or videos onto a larger surface 더 큰 표면에 이미지나 비디오를 투사, C: watch TV shows TV 프로그램을 시청하다, D: display digital photos in a slideshow format. 디지털 사진을 슬라이드쇼 형식으로 표시",choice,시연된 물체의 기능은 무엇입니까?,,,,,,,
334,fine-grained perception,recognition,Can you see a flag in the image?,"A: Yes it's in the middle of the frame 네 프레임의 중앙에 있습니다, B: Yes it's close to the bottom left corner 네 프레임의 왼쪽 하단 모서리 쪽에 있습니다, C: No there's no flag in the image 아니요 이미지에 깃발이 없습니다, D: Yes it's to the right of the frame 네 프레임의 오른쪽에 있습니다",choice,이미지에서 깃발이 보이나요?,,,,,,,
499,instance reasoning,cross-instance attribute reasoning,What is the relative position of the window to the shutters on the building in the image?,"A: The window is above the shutters 창문은 셔터 위에 있다, B: The window is on the same level as the shutters 창문은 셔터와 같은 높이에 있다, C: The window is below the shutters 창문은 셔터 아래에 있다, D: The window is to the left of the shutters 창문은 셔터의 왼쪽에 있다",choice,창문이 셔터에 대해 어떤 상대적 위치에 있습니까?,,,,,,,
171,coarse perception,image style & quality,Which category does this image belong to?,"A: MRI image MRI 이미지, B: icon 아이콘, C: microscopic image 현미경 이미지, D: abstract painting 추상화",choice,이 이미지는 어떤 범주에 속하나요?,,,,,,,
724,logical reasoning,common reasoning,"Based on the lighting, what time of day does it appear to be in the image?","A: Late afternoon 늦은 오후, B: Morning 아침, C: Evening 저녁, D: Night 밤",choice,조명에 따라 어느 시간대인가요?,,,,,,,
305,fine-grained perception,object counting,How many persons are playing guitar in the concert?,"A: 1, B: 2, C: 3, D: 4",choice,콘서트에서 기타를 연주하는 사람은 몇 명입니까?,,,,,,,
75,coarse perception,image scene and topic,What is the main object in the image?,"A: The guitar 기타, B: The man 남자, C: The woman 여자, D: The person on stage 무대에 선 사람",choice,이미지에서 가장 중요한 사물은 무엇입니까?,,,,,,,
149,coarse perception,image scene and topic,Which of the following captions best describes this image?,"A: A person playing a guitar on a stage A: 무대에서 기타를 연주하는 사람, B: A group of people dancing at a party B: 파티에서 춤추는 사람들, C: A singer performing on a microphone C: 마이크 앞에서 노래하는 가수, D: A person playing a piano in a studio D: 스튜디오에서 피아노를 연주하는 사람",choice,다음 캡션 중 어떤 것이 가장 잘 설명합니까?,,,,,,,
11,coarse perception,image emotion,What motion this image want to convey?,"A: happy 행복한, B: angry 화난, C: sad 슬픈, D: terrified 겁에 질린",choice,이 이미지가 전달하려는 동작은 무엇인가?,,,,,,,
277,fine-grained perception,object counting,How many paintings are in the image?,"A: 0, B: 2, C: 1, D: 3",choice,그 이미지에는 그림이 몇 점이나 있나요?,,,,,,,
81,coarse perception,image scene and topic,What is the main theme of the image?,"A: Bearded men 수염 난 남자들, B: Bathroom hygiene 욕실 위생, C: Royal monarchy 왕정, D: Home decor 가정 장식",choice,이미지의 주요 주제는 무엇인가요?,,,,,,,
624,instance reasoning,single-instance reasoning,What's the function of the demonstrated object?,"A: Separatist 분리주의자, B: Clamping 클램핑, C: drill 드릴, D: incise 절개",choice,시연된 물체의 기능은 무엇입니까...?,,,,,,,
34,coarse perception,image scene and topic,What is happening in the image?,"A: A football player is tackling a soccer player 풋볼 선수가 축구 선수를 태클하고 있다, B: A soccer player is kicking a football 축구 선수가 축구공을 차고 있다, C: A group of men are playing soccer 여러 남자들이 축구를 하고 있다, D: A football player is dribbling the ball towards the goal 풋볼 선수가 골대 방향으로 공을 드리블하고 있다",choice,이미지에서 무슨 일이 일어나고 있나요?,,,,,,,
415,fine-grained perception,recognition,What is the name of the place shown?,"A: Virginia 버지니아, B: Michigan 미시간, C: Kentucky 켄터키, D: Maryland 메릴랜드",choice,제시된 장소의 이름은 무엇입니까?,,,,,,,
810,logical reasoning,common reasoning,Where is the woman holding her belly in the image?,"A: With both hands 양손으로, B: With her right hand 오른손으로, C: With her left hand 왼손으로, D: She's not holding her belly 그녀는 배를 들고 있지 않다",choice,이미지에서 여자가 배를 들고 있는 위치는 어디인가요?,,,,,,,
553,instance reasoning,cross-instance relation reasoning,What is the most curved beak species?,"A: iiki 아이키, B: swallow-tanager 제비-탄가르새, C: cliff swallow 절벽제비, D: hawfinch 큰부리딱새",choice,가장 곡선 모양의 부리를 가진 종은 무엇입니까?,,,,,,,
808,logical reasoning,common reasoning,What will happen next?,"A: this person is gonna cry 이 사람이 울 것 같다, B: this person is gonna laugh 이 사람이 웃을 것 같다, C: this person is gonna get mad 이 사람이 화가 날 것이다, D: A B C 모두",choice,다음에 무슨 일이 일어날까요?,,,,,,,
585,instance reasoning,single-instance reasoning,How is the model's leg positioned in the image?,"A: Crossed 교차된, B: Straight 직선의, C: Raised 올려진, D: Bent 구부린",choice,이미지에서 모델의 다리는 어떻게 위치하고 있나요?,,,,,,,
274,fine-grained perception,object counting,How many musical instruments can be seen in the image?,"A: One 하나, B: Four 넷, C: Three 셋, D: Two 둘",choice,보이는 악기의 수는 몇 개인가요?,,,,,,,
304,fine-grained perception,object counting,How many people in the image have a visible smile?,"A: 2, B: 4, C: 3, D: 5",choice,사진 속에서 보이는 미소를 가진 사람이 몇 명입니까?,,,,,,,
348,fine-grained perception,recognition,Name the topmost opening of a volcano,"A: Camino Proncipale 주요 경로, B: Camino volcanico 화산 경로, C: Cratere volcanico 화산 분화구, D: Cratere Proncipale 주요 분화구",choice,화산의 최상단 분화구의 이름을 말하시오.,,,,,,,
567,instance reasoning,cross-instance relation reasoning,Which property do these four objects have in common?,"A: fragile 약한, B: transparent 투명한, C: opaque 불투명한, D: nan 숫자가 아님",choice,다음 네 객체가 공통으로 가지는 속성은 무엇입니까?,,,,,,,
150,coarse perception,image scene and topic,Which of the following captions best describes this image?,"A: A person taking a photo with a camera 카메라로 사진을 찍는 사람, B: A group of people watching a movie in a theater 극장에 모여 영화를 보는 사람들, C: A person reading a book in a library 도서관에서 책을 읽는 사람, D: A woman applying makeup in front of a mirror 거울 앞에서 화장을 하는 여성",choice,다음 캡션 중 어떤 것이 가장 잘 설명합니까?,,,,,,,
146,coarse perception,image scene and topic,Which of the following captions best describes this image?,"A: A group of people playing soccer in a field 들판에서 축구를 하는 사람들, B: A woman walking her dog on a beach 해변에서 개를 산책하는 여성, C: A man riding a bicycle on a mountain trail 산길에서 자전거를 타는 남성, D: A child playing with a ball in a park 공원에서 공을 가지고 노는 아이",choice,다음 이미지에 대해 아래 캡션 중 어느 것이 가장 잘 설명합니까?,,,,,,,
21,coarse perception,image emotion,what emotion does this emoji express?,"A: happy 행복한, B: sad 슬픈, C: excited 신난, D: angry 화난",choice,이 이모지는 어떤 감정을 표현하나요?,,,,,,,
308,fine-grained perception,object counting,How many plants are in the image?,"A: 1, B: 2, C: 3, D: 4",choice,이미지에 식물이 몇 개 있나요?,,,,,,,
141,coarse perception,image scene and topic,"Which is the main topic of the image
 ","A: A woman surfing 여성이 서핑하는 것, B: A man skiting 남자가 스케이팅을 하는 것, C: A man surfing 남자가 서핑하는 것, D: A woman skiting 여자가 스케이팅을 하는 것",choice,이미지의 주요 주제는 무엇입니까?,C,0.7692307692,,,,,
568,instance reasoning,cross-instance relation reasoning,"Which property do these four objects have in common?
 ","A: sticky 끈적한, B: hard 딱딱한, C: stretchy 신축성 있는, D: nan 숫자가 아님",choice,이 네 객체가 공통으로 가지는 속성은 무엇입니까?,A,0,,,,,
14,coarse perception,image emotion,"Which mood does this image convey?
 ","A: Cozy 아늑한, B: Anxious 불안한, C: Happy 행복한, D: Angry 화난",choice,이 이미지는 어떤 분위기를 전달하나요?,C,0.1621621622,,,,,
910,logical reasoning,diagram reasoning,"Which continent is highlighted?
 ","A: Europe 유럽, B: South America 남아메리카, C: Antarctica 남극, D: Africa 아프리카",choice,강조된 대륙은 어느 대륙입니까?,C,0.5,,,,,
560,instance reasoning,cross-instance relation reasoning,"Where is the little girl standing in relation to the old woman in the dress in the image?
 ","A: Behind her 그녀의 뒤에, B: To the right of her 그녀의 오른쪽에, C: In front of her 그녀의 앞에, D: To the left of her 그녀의 왼쪽에",choice,그 꼬마 소녀는 어떤 대상에 대해 어디에 서 있나요?,B,0.09090909091,,,,,
27,coarse perception,image scene and topic,"Can you identify the season in which the picture was taken?
 ","A: spring 봄, B: summer 여름, C: fall 가을, D: winter 겨울",choice,그 그림에서 묘사된 계절을 식별할 수 있나요?,D,0.4166666667,,,,,
167,coarse perception,image style & quality,"Which art style is showcased in this image?
 ","A: depth of field 피사계 심도, B: pencil 연필, C: vector art 벡터 아트, D: Baroque 바로크",choice,이 이미지에 보여지는 예술 양식은 무엇인가요?,B,0.25,,,,,
532,instance reasoning,cross-instance relation reasoning,"Based on the image, what is the significance of having two cakes on the table during the couple's celebration with their baby?
 ","A: Having two cakes allows for different cake flavors or designs for their guests. 두 케이크는 손님들을 위해 서로 다른 케이크 맛이나 디자인을 가능하게 한다., B: Having two cakes signifies that the couple is celebrating multiple occasions or milestones. 두 개의 케이크는 커플이 여러 가지 행사나 이정표를 축하하고 있음을 나타낸다., C: Having two cakes indicates a preference for abundance and excess. 두 개의 케이크를 갖는 것은 풍요와 과잉을 선호한다는 것을 나타낸다., D: Having two cakes is a common practice in most celebrations of this nature. 이런 종류의 축하 행사에서 두 개의 케이크를 가지는 것은 일반적인 관행이다.",choice,"이미지를 기반으로, o의 의미는 무엇입니까...",B,0.5454545455,,,,,
17,coarse perception,image emotion,"Which mood does this image convey?
 ","A: Sad 슬픈, B: Anxious 불안한, C: Happy 행복한, D: Angry 화난",choice,이 이미지는 어떤 분위기를 전달합니까?,D,0.1891891892,,,,,
526,instance reasoning,cross-instance attribute reasoning,"Which option describe the object relationship in the image correctly?
 ","A: The sink contains the cat. 싱크대에 고양이가 있다., B: The cat is beside the microwave. 고양이는 전자레인지 옆에 있다., C: The cat is at the edge of the sink. 싱크대의 가장자리에 고양이가 있다., D: The book is beside the cat. 그 책은 고양이 옆에 있다.",choice,다음 중 어떤 옵션이 객체 간의 관계를 설명합니까?,A,0.09090909091,,,,,
142,coarse perception,image scene and topic,"Which is the main topic of the image
 ","A: Driving cars 자동차 운전, B: Driving buses 버스 운전, C: A driving bus 운전 중인 버스, D: A driving car 운전 중인 자동차",choice,이미지의 주요 주제는 무엇입니까?,B,0.08333333333,,,,,
426,fine-grained perception,recognition,"What is the subject of the image?
 ","A: Green exit sign with an arrow pointing to the right 오른쪽으로 향하는 화살표가 있는 초록색 출구 표지, B: Sign of a toilet on the roof of a building 건물 옥상에 있는 화장실 표지, C: Green exit sign with a directional arrow 방향 화살표가 있는 초록색 출구 표지, D: Green exit sign with an arrow pointing to the left 왼쪽으로 향하는 화살표가 있는 초록색 출구 표지",choice,이미지의 주제가 무엇입니까?,D,0.08333333333,,,,,
109,coarse perception,image scene and topic,"What is the primary subject in this image?
 ","A: a guitar 기타, B: a man on stage 무대 위의 남자, C: a microphone 마이크, D: concert 콘서트",choice,이 이미지의 주요 주제는 무엇입니까?,D,0.1538461538,,,,,
793,logical reasoning,common reasoning,"What is the referee doing in the image?
 ","A: Blowing the whistle 호루라기를 불고 있다, B: Talking to the players 선수들과 대화하고 있다, C: Watching the match from the sideline 측선에서 경기를 지켜보고 있다, D: Scoring the goal 골을 넣고 있다",choice,사진 속 심판은 무엇을 하고 있습니까?,C,0.3636363636,,,,,
241,fine-grained perception,object counting,"Based on the image, how many soccer players are on the field?
 ","A: 1, B: 2, C: 4, D: 3",choice,이미지에 따르면 축구 선수의 수는 몇 명입니까?,C,0.1666666667,,,,,
197,coarse perception,image style & quality,"what style is this painting?
 ","A: ink wash painting 수묵화, B: watercolor painting 수채화, C: gouache painting 구아슈 페인팅, D: pen and ink 펜과 잉크",choice,이 그림의 스타일은 무엇입니까?,B,0.1666666667,,,,,
84,coarse perception,image scene and topic,"What is the most frequent color shown in the image?
 ","A: White 흰색, B: Brown 갈색, C: Blue 파란색, D: Green 초록",choice,이미지에 나타난 가장 자주 보이는 색은 무엇입니까?,D,0.2307692308,,,,,
335,fine-grained perception,recognition,"Does the image contain any person wearing green clothes?
 ","A: Yes 네, B: Cannot determine from the given information 주어진 정보로는 판단할 수 없습니다, C: No 아니요, D: None of the above 위의 어느 것도 아니다",choice,이미지에 초록색 옷을 입은 사람이 있나요?,C,0.6666666667,,,,,
265,fine-grained perception,object counting,"How many dressers are visible in the image?
 ","A: nan 해당 없음, B: Three 세 개, C: Two 두 개, D: One 한 개",choice,그 사진에서 보이는 서랍장은 몇 개입니까?,A,0.1666666667,,,,,
921,logical reasoning,diagram reasoning,"Which of these cities is marked on the map?
 ","A: Miami (마이애미), B: Atlanta (애틀랜타), C: Nashville (내슈빌), D: Oklahoma City (오클라호마 시티)",choice,다음 도시들 중 지도에 표시된 도시는 어느 도시입니까?,B,0.1,,,,,
477,instance reasoning,cross-instance attribute reasoning,"What is the position of the glass of juice relative to the tangerines?
 ","A: Next to the tangerines 귤 옆에, B: Between the tangerines 귤 사이에, C: Behind the tangerines 귤 뒤에, D: Cannot tell 알 수 없음",choice,귤에 비해 주스 한 잔의 위치는 어디에 있나요?,B,0.1818181818,,,,,
486,instance reasoning,cross-instance attribute reasoning,"What is the relationship between the people in the image?
 ","A: friends 친구들, B: family 가족, C: commercial 상업적, D: professional 전문적",choice,...에 있는 사람들 사이의 관계는 무엇입니까?,D,0.2727272727,,,,,
128,coarse perception,image scene and topic,"What time of day is it in the image?
 ","A: Noon 정오, B: Evening 저녁, C: Night 밤, D: Dawn 새벽",choice,이미지 속 시간대는 무엇인가요?,D,0.07692307692,,,,,
156,coarse perception,image scene and topic,"Which option describe the object relationship in the image correctly?
 ","A: The suitcase is on the book. 여행 가방은 책 위에 있다., B: The suitcase is beneath the cat. 여행 가방은 고양이 아래에 있다., C: The suitcase is beneath the bed. 여행 가방은 침대 아래에 있다., D: The suitcase is beneath the book. 여행 가방은 책 아래에 있다.",choice,다음 중 물체 간의 관계를 설명하는 옵션은 무엇입니까?,A,0,,,,,
301,fine-grained perception,object counting,"How many people are visible in the image?
 ","A: Two 두 명, B: One 한 명, C: Three 세 명, D: Four 네 명",choice,이미지에 보이는 사람의 수는 몇 명입니까?,D,0,,,,,
325,fine-grained perception,object counting,"How many white jugs are on the nightstand?
 ","A: 0, B: 3, C: 2, D: 1",choice,협탁 위에 흰색 저그가 몇 개 있나요?,A,0.25,,,,,
413,fine-grained perception,recognition,"What is the most prominent color of the countertop?
 ","A: Gray 회색, B: White 흰색, C: Black 검은색, D: Brown 갈색",choice,카운터의 가장 두드러진 색은 무엇입니까?,D,0.08333333333,,,,,
611,instance reasoning,single-instance reasoning,"What is the material of the cage-like object in this image?
 ","A: Plastic 플라스틱, B: Wire 와이어, C: Metal 금속, D: Glass 유리  choice",choice,새장 같은 물체의 재질은 무엇입니까?,A,,,,,,
641,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
 ","A: astronaut 우주비행사, B: chemist 화학자, C: violinist 바이올리스트, D: pianist 피아니스트",choice,이 사진에 있는 사람들의 직업은 무엇입니까?,C,0.4545454545,,,,,
445,fine-grained perception,recognition,"Which woman has dark hair in the image?
 ","A: Both women 두 여성 모두, B: The woman standing farther from the teddy bear 테디 베어에서 더 멀리에 서 있는 여성, C: The woman standing closer to the teddy bear 테디 베어에 더 가까이 서 있는 여성, D: Neither woman 어느 여성도 아니다",choice,사진 속에서 머리카락이 어두운 여성은 누구입니까?,A,0.08333333333,,,,,
784,logical reasoning,common reasoning,"What is the intended outcome in this image?
 ","A: She will lose leg muscle 다리 근육을 잃게 된다, B: She will maintain her current leg muscle size 현재의 다리 근육 크기를 유지하게 된다, C: She will grow her leg muscle 다리 근육이 커지게 된다, D: She will undergo surgery to reduce leg muscle 다리 근육을 줄이기 위한 수술을 받게 된다",choice,이 이미지의 의도된 결과는 무엇입니까?,C,0.6,,,,,
421,fine-grained perception,recognition,"What is the primary surface of the playing field in the image?
 ","A: Asphalt 아스팔트, B: Sand 모래, C: Artificial turf 인조잔디, D: Grass 잔디",choice,운동 경기장의 주된 표면은 무엇입니까?,C,0.1666666667,,,,,
309,fine-grained perception,object counting,"How many ponds are clearly visible in this image?
 ","A: 1, B: 3, C: 2, D: 4",choice,이 이미지에서 확실히 보이는 연못은 몇 개입니까?,B,0.08333333333,,,,,
530,instance reasoning,cross-instance attribute reasoning,"which image is more colorful?
 ","A: The first image 첫 번째 이미지, B: The second image 두 번째 이미지, C: nan, D: nan",choice,어떤 이미지가 더 다채롭나요?,A,0.2727272727,,,,,
535,instance reasoning,cross-instance relation reasoning,"Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?
 ","A: sample A 샘플 A, B: neither; 두 샘플의 온도가 같다, C: sample B 샘플 B, D: nan 숫자가 아님",choice,두 샘플의 입자들의 평균 운동 에너지를 비교하시오.,B,0.1818181818,,,,,
352,fine-grained perception,recognition,"What color are the flowers in the room?
 ","A: White 흰색, B: Yellow 노란색, C: Red 빨간색, D: Pink 분홍색",choice,방 안의 꽃은 무슨 색입니까?,B,0.25,,,,,
614,instance reasoning,single-instance reasoning,"What is the object that the man with the uniform is standing in front of?
 ","A: A flag 깃발, B: A table 탁자, C: A picture 그림, D: A chair 의자",choice,제복을 입은 남자가 들고 있는 물건은 무엇입니까?,D,0.09090909091,,,,,
68,coarse perception,image scene and topic,"What is the main focus of the image?
 ","A: A person playing a guitar in front of a choir 합창단 앞에서 기타를 연주하는 사람, B: A choir singing on a stage 무대에서 합창단이 노래하는 모습, C: A man sitting in a chair playing a guitar 의자에 앉아 기타를 연주하는 남자,  D: A man playing a guitar in front of a group of people  사람들 앞에서 기타를 연주하는 남자",choice,이미지의 주된 초점은 무엇입니까?,C,0.07692307692,,,,,
