,core_attributes,spurious_attributes,spurious_correlation_type,question,choices,answer,image,answer_type,qid
91,"['face covering', 'decorative', 'straps', 'worn on face']","['crowd', 'costumes', 'props', 'outdoor setting', 'activity']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object worn on the face?,"['A. The costumes', 'B. The straps', 'C. The crowd', 'D. The props']",B,002394.png,choice,s2394
92,"['card shape', 'printed design', 'standard size']","['plastic case', 'tabletop', 'blue printed label', 'nearby objects']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object inside the plastic case on the table?,"['A. The blue printed label', 'B. The nearby objects', 'C. The card shape', 'D. The plastic case']",C,001010.png,choice,s1010
93,"['legs', 'skin texture', 'body shape']","['blurred', 'underwater-like', 'distorted', 'lighting effects']","['Texture and Noise', 'Orientation']",Which feature best indicates the identity of the object in the blurred underwater-like image?,"['A. The underwater-like distortion', 'B. The blurry water-like setting', 'C. The distorted lighting effects', ""D. The object's legs""]",D,002299.png,choice,s2299
94,"['coiled form', 'scaly pattern', 'head shape']","['coiled shape', 'line drawing', 'simplified details']","['Co-occurring Objects', 'Perspective and Angle']",Which feature best indicates the identity of the coiled object in the drawing?,"[""A. The object's coiled shape"", 'B. The simplified details', 'C. The scaly pattern', 'D. The line drawing style']",C,002207.png,choice,s2207
95,"['bristles', 'long handle', 'color', 'solid structure']","['nearby drain', 'bathroom tiles', 'water stains', 'corner position']","['Background', 'Orientation']",Which feature best indicates the identity of the object near the bathroom drain?,"[""A. The object's bristles"", 'B. The corner position', 'C. The bathroom tiles', 'D. The water stains']",A,001076.png,choice,s1076
96,"['flat', 'rectangular', 'thin', 'closed', 'cover image']","['cover image', 'floor', 'shadow', 'tile lines']","['Background', 'Orientation']",Which feature best indicates the identity of the flat rectangular object with a cover image?,"['A. The floor', 'B. The tile lines', 'C. The cover image', ""D. The object's thin structure""]",D,001754.png,choice,s1754
97,"['cylindrical shape', 'wooden material', 'handles', 'rolling mechanism']","['vertical position', 'rug', 'wall', 'tile floor']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is standing vertically against the wall?,"['A. The wall', 'B. The rug', ""C. The object's cylindrical shape"", 'D. The tile floor']",C,001635.png,choice,s1635
98,"['dates', 'monthly layout', 'pictures', 'grid']","['printed text', 'color images', 'flat orientation', 'single sheet', 'white background']","['Orientation', 'Background']",Which feature best indicates the identity of the object that has printed text and images?,"['A. The single sheet', ""B. The object's flat orientation"", 'C. The printed text and pictures', 'D. The white background']",C,001482.png,choice,s1482
99,"['compact size', 'zipper', 'solid structure']","['lying on couch', 'fabric texture', 'nearby pillow']","['Background', 'Orientation']",Which feature best indicates the identity of the object lying on the couch?,"['A. The couch', ""B. The object's zipper"", 'C. The nearby pillow', 'D. The fabric texture']",B,000898.png,choice,s898
100,"['rectangular shape', 'zipper', 'handles', 'compact size']","['stove', 'metal knobs', 'background tiles', 'horizontal orientation']","['Background', 'Orientation']",Which feature best indicates the identity of the object placed on the stove?,"['A. The stove', 'B. The background tiles', 'C. The metal knobs', ""D. The object's handles""]",D,000566.png,choice,s566
101,"['puppy face', 'brown fur', 'green collar', 'ears']","['colorful toy', 'blurred motion', 'green floor', 'background objects']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object holding the colorful toy?,"['A. The background objects', 'B. The colorful toy', 'C. The green floor', ""D. The object's brown fur""]",D,002087.png,choice,s2087
102,"['cables', 'deck', 'towers', 'suspended structure']","['blurred background', 'elongated shapes', 'horizontal lines', 'vertical lines']","['Background', 'Perspective and Angle']",Which feature best indicates the identity of the object with suspended horizontal and vertical lines?,"['A. The motion blur', 'B. The blurred background', 'C. The elongated shapes', ""D. The object's cables""]",D,002021.png,choice,s2021
103,"['flat surface', 'rectangular shape', 'tabletop item', 'decorative purpose']","['printed text', 'colorful sections', 'rectangular shape', 'dark background', 'wooden border']","['Colorization', 'Co-occurring Objects']",Which feature best indicates the identity of the flat rectangular item on the table?,"['A. The printed text', 'B. The tabletop item', 'C. The colorful sections', 'D. The dark background']",B,000372.png,choice,s372
104,"['glove shape', 'insulating material', 'pair of items', 'finger sections']","['sink', 'soap bars', 'tile pattern', 'wet context']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the objects placed near the soap bars?,"['A. The tile pattern', 'B. The glove shape', 'C. The sink', 'D. The soap bars']",B,000192.png,choice,s192
105,"['rolled-up fabric', 'cushioned', 'rectangular shape']","['couch', 'pill bottle', 'lamp', 'side table']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the rolled-up object on the couch?,"['A. The rolled-up fabric', 'B. The side table', 'C. The lamp', 'D. The pill bottle']",A,000449.png,choice,s449
106,"['sleeveless', 'straps', 'simple design']","['on the floor', 'near messy items', 'adjacent to bed', 'poor lighting']","['Background', 'Orientation']",Which feature best indicates the identity of the object lying on the floor near the bed?,"['A. The surrounding messy items', 'B. Poor lighting', 'C. The adjacent bed', ""D. The object's straps""]",D,000626.png,choice,s626
107,"['rectangular shape', 'dual handles', 'fabric material']","['hanging on hanger', 'wire shelf', 'steamer', 'closet']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object hanging on the hanger?,"['A. The fabric material', 'B. The wire shelf', 'C. The closet', 'D. The steamer']",A,000655.png,choice,s655
108,"['multiple sockets', 'power cord', 'electrical device', 'rectangular shape']","['glass table', 'other wires', 'electronic device', 'concrete floor']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object placed on the glass table?,"['A. The multiple sockets', 'B. The other wires', 'C. The concrete floor', 'D. The glass table']",A,001729.png,choice,s1729
109,"['blade-like structure', 'handle', 'elongated shape']","['smooth surface', 'dark background', 'sheen']","['Background', 'Shape']",Which feature best indicates the identity of the object with a handle and an elongated shape?,"['A. Smooth surface', 'B. Dark background', 'C. Blade-like structure', 'D. Sheen']",C,000260.png,choice,s260
110,"['time display', 'buttons', 'compact size']","['speaker grille', 'black casing', 'rectangular shape', 'wooden surface']","['Co-occurring Objects', 'Shape']",Which feature best indicates the identity of the object with a black casing and speaker grille?,"['A. Time display', 'B. Speaker grille', 'C. Wooden surface', 'D. Black casing']",A,001576.png,choice,s1576
111,"['height', 'material', 'laces', 'sole', 'ankle support']","['plastic bin', 'wooden floor', 'white fabric', 'shadow']","['Background', 'Orientation']",Which feature best indicates the identity of the object near the plastic bin?,"[""A. The object's height"", 'B. The wooden floor', 'C. The white fabric', 'D. The plastic bin']",A,001563.png,choice,s1563
112,"['game pieces', 'game board', 'instruction manual', 'packaging']","['bowl', 'paper', 'wooden table', 'clutter']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object amidst the clutter on the table?,"['A. The game pieces', 'B. The bowl', 'C. The paper', 'D. The wooden table']",A,001917.png,choice,s1917
113,"['tentacles', 'sessile', 'marine invertebrate']","['underwater', 'fish nearby', 'algae', 'rocky seabed', 'colorful appearance']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object with tentacles in the underwater scene?,"[""A. The object's tentacles"", 'B. The rocky seabed', 'C. The fish nearby', 'D. The algae']",A,002167.png,choice,s2167
114,"['rectangular shape', 'paper material', 'folded', 'white color']","['soap dispenser', 'bathroom counter', 'near sink', 'other toiletries']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object on the bathroom counter?,"['A. The bathroom counter', ""B. The object's rectangular shape"", 'C. Other toiletries', 'D. The soap dispenser']",B,001029.png,choice,s1029
115,"['handle', 'blade', 'metal', 'flat']","['glass case', 'lying flat', 'display setting', 'shadow']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is lying flat in the display case?,"['A. The glass case', ""B. The object's handle"", 'C. The flat appearance', 'D. The shadow']",B,002266.png,choice,s2266
116,"['adjustable jaw', 'handle', 'metallic', 'handheld']","['held by hand', 'plain background', 'metal components', 'small size']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object held in the hand?,"['A. Its adjustable jaw', 'B. The plain background', 'C. Its small size', 'D. The metal components']",A,000047.png,choice,s47
117,"['rectangular shape', 'screen', 'buttons', 'held in hand']","['blanket', ""object's size"", ""object's shape"", 'orientation', 'hand']","['Background', 'Orientation']",What feature best indicates the identity of the object held in hand?,"[""A. The object's size"", 'B. The screen', 'C. The blanket', ""D. The object's shape""]",B,000469.png,choice,s469
118,"['small size', 'short fur', 'specific ears', 'facial features']","['large dog', 'human hands', 'grassy background', 'shirt', 'outdoor setting']","['Co-occurring Objects', 'Background']",What is the main feature of the small animal in the human's hand?,"['A. The grassy background', 'B. The large dog nearby', 'C. The small size and specific ears', ""D. The human's shirt""]",C,002199.png,choice,s2199
119,"['flat', 'thin', 'rectangular', 'open side', 'paper material']","['clothes hanger', 'pillows', 'floor', 'wires', 'wall']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object standing upright against the wall?,"['A. The object’s flat structure', 'B. The pillows', 'C. The wires', 'D. The clothes hanger']",A,001092.png,choice,s1092
120,"['body pattern', 'head shape', 'small size']","['leafy background', 'color pattern', 'motion blur']","['Background', 'Colorization']",Which feature best indicates the identity of the object with the leafy background?,"[""A. The object's head shape"", 'B. The motion blur', 'C. The leafy background', 'D. The color pattern']",A,002372.png,choice,s2372
121,"['layered structure', 'cap surface', 'fungal texture']","[""text 'Maitake'"", 'shape resembling fish', 'detailed line drawing']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object with the layered structure and fungal texture?,"[""A. The object's cap surface"", 'B. The shape resembling a fish', ""C. The text 'Maitake'"", 'D. The detailed line drawing']",A,002399.png,choice,s2399
122,"['cylindrical shape', 'transparent material', 'decorative design']","['tipped over', 'nearby cutting board', 'on the floor', 'black object', 'kitchen tile']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is tipped over on the floor?,"['A. The decorative design', 'B. The kitchen tile', 'C. The black object', 'D. The cutting board']",A,001202.png,choice,s1202
123,"['protective structure', 'visor', 'smooth surface']","['round shape', 'dark background', 'reflective surface']","['Shape', 'Lighting and Shadows']",Which feature best indicates the identity of the object with a round shape and a dark background?,"['A. A desk lamp', 'B. A standing lamp', 'C. A webcam', 'D. A protective structure']",D,001780.png,choice,s1780
124,"['plastic material', 'flexible shape', 'thin structure', 'crumpled appearance']","['colorful pattern', 'on the floor', 'nearby chair', 'crumpled']","['Background', 'Shape']",Which feature best indicates the identity of the colorful object near the chair?,"['A. Its plastic material', 'B. Its position on the floor', 'C. Its colorful pattern', 'D. The nearby chair']",A,000647.png,choice,s647
125,"['grinding mechanism', 'lid', 'compact body', 'metallic finish']","['kitchen counter', 'nearby kettle', 'stainless steel stove', 'tile backsplash']","['Background', 'Shape']",Which feature best indicates the identity of the object on the kitchen counter?,"['A. The nearby kettle', 'B. Tile backsplash', ""C. The object's grinding mechanism"", 'D. The stainless steel stove']",C,001858.png,choice,s1858
126,"['formal design', 'specific shape', 'laces', 'closed toe', 'heel']","['background clutter', 'held in hand', 'near couch', 'household items', 'shadows']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held in the hand?,"['A. The background clutter', 'B. The couch', ""C. The object's laces"", 'D. The household items']",C,000013.png,choice,s13
127,"['rectangular shape', 'soft padding', 'low height']","['colorful toys', 'step stool', 'bathroom setting', 'pillow-like appearance']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object near the colorful toys?,"[""A. The object's rectangular shape"", 'B. The step stool', 'C. The pillow-like appearance', 'D. The bathroom setting']",A,001078.png,choice,s1078
128,"['large size', 'distinctive coat', 'erect ears']","['blurry image', 'green background', 'mottled coat', 'motion blur']","['Background', 'Colorization']",Which feature best indicates the identity of the object with a mottled coat and erect ears?,"['A. The green background', 'B. The motion blur', ""C. The object's large size"", 'D. The blurriness']",C,002050.png,choice,s2050
129,"['short length', 'elastic waistband', 'blue color', 'fabric material']","['toilet seat', 'bathroom tiles', 'watering can', 'bathroom setting']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the blue fabric item placed on the toilet seat?,"['A. The elastic waistband', 'B. The toilet seat', 'C. The bathroom tiles', 'D. The watering can']",A,000731.png,choice,s731
130,"['slender legs', 'curved horns', 'body shape', 'tail', 'ears']","['grass', 'trees', 'upright stance', 'open field']","['Background', 'Orientation']",Which feature best indicates the identity of the animals standing in the open field?,"['A. The grass', 'B. The trees', 'C. The upright stance', 'D. The curved horns']",D,002079.png,choice,s2079
131,"['printed image', 'small size', 'rectangular shape']","['patterned surface', 'flat shape', 'rectangular object', 'colorful background']","['Background', 'Shape']",Which feature best identifies the object on the patterned surface?,"['A. The printed image', 'B. The patterned surface', 'C. The flat shape', 'D. The colorful background']",A,000435.png,choice,s435
132,"['flat edge', 'collection area', 'handle', 'rectangular shape']","['red color', 'tiled floor', 'angled position', 'shadow']","['Background', 'Orientation']",Which feature best indicates the identity of the red object on the tiled floor?,"['A. The shadow', 'B. The red color', 'C. The flat edge', 'D. The tiled floor']",C,001222.png,choice,s1222
133,"['long legs', 'long beak', 'feathers', 'wading stance']","['black-and-white', 'simple lines', 'no color', 'sketch']","['Colorization', 'Texture and Noise']",Which feature best indicates the identity of the object with long legs and a beak?,"['A. The simple lines', 'B. The no color', 'C. The black-and-white sketch', ""D. The object's long beak""]",D,002269.png,choice,s2269
134,"['elongated shape', 'zipper', 'padding', 'head opening']","['vertical orientation', 'minimalist design', 'linear pattern', 'text at bottom']","['Orientation', 'Background']",Which feature best indicates the identity of the vertically oriented object with a zipper?,"['A. Padding', 'B. Linear pattern', 'C. Text at bottom', 'D. Minimalist design']",A,002381.png,choice,s2381
135,"['crust', 'filling', 'shape']","['background', 'socks', 'horizontal orientation', 'lines', 'shading']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object that has a crust and filling?,"['A. The horizontal lines', 'B. The socks', ""C. The object's shape"", 'D. The background']",C,002293.png,choice,s2293
136,"['cylindrical shape', 'natural texture', 'markings']","['hand holding', 'table', 'monitor']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object being held?,"['A. The hand holding it', ""B. The object's cylindrical shape"", 'C. The table', 'D. The monitor']",B,001531.png,choice,s1531
137,"['grip', 'jaws', 'metallic structure']","['household decor', 'photoframe', 'toy shelf', 'indoor lighting']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held?,"['A. The toy shelf', ""B. The object's jaws"", 'C. The household decor', 'D. The photoframe']",B,000661.png,choice,s661
138,"['steaming liquid', 'round pot', 'two handles']","['lined paper', 'spoon nearby', 'garlic clove']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object on lined paper with a spoon nearby?,"['A. The garlic clove', 'B. The steaming liquid', 'C. The spoon', 'D. The lined paper']",B,002209.png,choice,s2209
139,"['multiple tubes', 'arranged in rows', 'musical instrument', 'uneven lengths']","['metallic texture', 'text inscription', 'stone background', 'shiny surface']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object with tubes arranged in rows?,"['A. The text inscription', 'B. The stone background', ""C. The object's uneven lengths"", 'D. The metallic texture']",C,002172.png,choice,s2172
140,"['image', 'paper material', 'rectangular shape']","['lying on floor', 'near cabinets', 'kitchen setting', 'horizontal orientation']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is lying on the floor near the kitchen cabinets?,"[""A. The object's image"", 'B. The cabinets', 'C. The horizontal orientation', 'D. The kitchen setting']",A,000002.png,choice,s2
141,"['fabric', 'sleeves', 'waist area', 'dress shape']","['lying flat', 'star patterns', 'near slippers', 'wooden floor']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is lying flat on the floor with star patterns?,"['A. The nearby slippers', ""B. The object's waist area"", ""C. The object's star patterns"", 'D. The wooden floor']",B,001327.png,choice,s1327
142,"['elastic band', 'transparent', 'circular shape']","['hand positioning', 'circular appearance', 'slightly textured', 'hand grasping']","['Co-occurring Objects', 'Orientation']",Which feature best indicates the identity of the object being held by hands?,"['A. The hand positioning', ""B. The object's transparent material"", 'C. Small text on the object', 'D. The circular shape']",B,002001.png,choice,s2001
143,"['rectangular shape', 'transparent lid', 'storage container']","['various small items', 'pill-like items', 'bandage-like items', 'colorful packaging']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object containing various small items?,"['A. Pill-like items', 'B. Colorful packaging', 'C. The transparent lid', 'D. Bandage-like items']",C,000079.png,choice,s79
144,"['sleeves', 'body', 'neckline']","['lying on floor', 'nearby TV', 'furniture', 'tiles']","['Background', 'Orientation']",Which feature best indicates the identity of the object lying on the floor in the living room?,"['A. The furniture', 'B. The tiles', 'C. The nearby TV', ""D. The object's sleeves""]",D,000458.png,choice,s458
145,"['open top', 'handle', 'round shape', 'solid structure']","['label design', 'text', 'hung on wall', 'background colors']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object hung on the wall?,"['A. The label design', ""B. The object's handle"", 'C. The text', 'D. Background colors']",B,001486.png,choice,s1486
146,"['container shape', 'label design', 'lid', 'material']","['yellow color', 'on the floor', 'circular lid', 'plain background']","['Colorization', 'Background']",Which feature best indicates the identity of the yellow object on the floor?,"['A. The plain background', ""B. The container's shape"", 'C. The yellow color', 'D. The circular lid']",B,001259.png,choice,s1259
147,"['retractable metal tape', 'measurement markings', 'clip', 'compact size']","['compact shape', 'similar size', 'black and orange color', 'handheld', 'nearby scissors']","['Shape', 'Co-occurring Objects']",Which feature best indicates the identity of the compact black and orange object being held?,"[""A. The object's compact shape"", 'B. The retractable metal tape', 'C. Nearby scissors', ""D. The object's color""]",B,000980.png,choice,s980
148,"['plastic body', 'squeeze cap', 'distinct shape']","['lying on floor', 'nearby blanket', 'electric cord', 'brick background']","['Background', 'Orientation']",Which feature best indicates the identity of the object lying on the floor?,"['A. The brick background', 'B. The nearby blanket', ""C. The object's distinct shape"", 'D. The electric cord']",C,000237.png,choice,s237
149,"['dispensing mechanism', 'fragrance', 'cylindrical shape']","['cylindrical shape', 'bathroom items', 'packaging', 'white color', 'tiles']","['Co-occurring Objects', 'Shape']",Which feature best indicates the identity of the cylindrical object near the box?,"['A. The dispensing mechanism', 'B. The cylindrical shape', 'C. The bathroom tiles', 'D. The white color']",A,000986.png,choice,s986
150,"['snout', 'ears', 'fur', 'head shape']","['textured drawing', 'monochrome', 'abstract']","['Texture and Noise', 'Background']",Which feature best indicates the identity of the object in the drawing with a textured background?,"['A. The abstract texture', ""B. The object's snout"", 'C. The background patterns', 'D. The monochrome color']",B,002355.png,choice,s2355
151,"['green packaging', 'brand label', 'cleaning indication']","['sink', 'bar shape', 'water droplets', 'circular tiles']","['Background', 'Shape']",Which feature best indicates the identity of the object on the sink?,"['A. The brand label', 'B. Water droplets', 'C. The sink', 'D. The bar shape']",A,000350.png,choice,s350
152,"['soft fabric', 'rectangular shape', 'on couch']","['cluttered background', 'coffee table', 'clothes hamper', 'decorative items']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object placed on the couch?,"[""A. The object's soft fabric"", 'B. The coffee table', 'C. Decorative items', 'D. The cluttered background']",A,001990.png,choice,s1990
153,"['carton', 'green color', 'cow image']","['various containers', 'cluttered countertop', 'red can', 'blue bowl']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the green object on the cluttered countertop?,"['A. The blue bowl', 'B. The green color and cow image', 'C. The coffee maker', 'D. The red can']",B,000283.png,choice,s283
154,"['cylindrical shape', 'handle', 'metal material']","['flowers', 'outdoor setting', 'texture', 'lighting']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object with a handle and metal material?,"['A. Cylindrical shape', 'B. Flowers', 'C. Outdoor setting', 'D. Texture']",A,002181.png,choice,s2181
155,"['lamp base', 'lamp shade', 'power cord', 'switch', 'small size']","['tipped over', 'nearby cup', 'window', 'tablecloth']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is tipped over next to the cup?,"[""A. The object's lamp base"", 'B. The cup', 'C. Tablecloth', 'D. The window']",A,000515.png,choice,s515
156,"['cylindrical shape', 'handle', 'open top', 'plastic material']","['near drain', 'paint spots', 'dirty floor', 'outdoor setting']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object near the drain?,"['A. The paint spots', 'B. The outdoor setting', 'C. The cylindrical shape', 'D. The dirty floor']",C,000525.png,choice,s525
157,"['thin', 'fabric', 'flexible']","['elongated', 'on ground', 'near cable']","['Background', 'Shape']",Which feature best indicates the identity of the object lying on the ground?,"['A. The nearby cable', 'B. The ground surface', 'C. The elongated shape', ""D. The object's fabric material""]",D,001946.png,choice,s1946
158,"['metallic body', 'typical shape', 'bottle neck']","['yellow cap', 'red surface', 'background tiles']","['Colorization', 'Background']",Which feature best indicates the identity of the object with a yellow cap on the red surface?,"['A. Red surface', 'B. Metallic body', 'C. Yellow cap', 'D. Background tiles']",B,000676.png,choice,s676
159,"['circular', 'textured wood', 'small size', 'central placement']","['circular shape', 'contrast on fabric', 'shadow pattern', 'single object']","['Shape', 'Background']",Which feature best indicates the identity of the circular object on the fabric?,"['A. The fabric pattern', ""B. The object's textured wood"", 'C. The shadow pattern', ""D. The object's shadow""]",B,001085.png,choice,s1085
160,"['blade', 'shavings container', 'small size', 'plastic body']","['blurred image', 'heart shape', 'star shape', 'colorful', 'cylindrical']","['Texture and Noise', 'Shape']",Which feature best indicates the identity of the colorful blurred objects?,"['A. The cylindrical shape', 'B. The blade', 'C. The heart shape', 'D. The star shape']",B,002161.png,choice,s2161
161,"['cylindrical shape', 'metallic material', 'open top']","['kitchen setting', 'near appliances', 'lying down', 'power cord', 'dark surface']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object lying down on the dark surface?,"['A. The kitchen setting', 'B. The power cord', ""C. The object's cylindrical shape"", 'D. The nearby appliances']",C,001733.png,choice,s1733
162,"['white plastic material', 'crumpled', 'sink']","['sink', 'water faucet', 'soap bottle']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object in the sink that is crumpled?,"['A. The white plastic material', 'B. The sink', 'C. The water faucet', 'D. The soap bottle']",A,000867.png,choice,s867
163,"['rocky structure', 'protrusion', 'into sea', 'cliff face', 'elevated land']","['snowfall', 'visual noise', 'snowflakes', 'white particles', 'blurred background']","['Background', 'Orientation']",Which feature best indicates the identity of the object with a rocky structure protruding into the sea?,"['A. The snowflakes', 'B. The snowfall', ""C. The object's cliff face"", 'D. The white particles']",C,002208.png,choice,s2208
164,"['slender shape', 'abrasive surface', 'metal handle']","['near sink', 'bathroom items', 'marble countertop', 'soap dispenser', 'toothbrush']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object placed on the marble countertop?,"['A. The toothbrush', ""B. The object's metal handle"", 'C. The soap dispenser', 'D. The sink']",B,000823.png,choice,s823
165,"['spout', 'handle', 'lid', 'circular body', 'metallic finish']","['on stove', 'kitchen towel', 'kitchen setting', 'near trash bin']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is on the stove?,"['A. The stove', ""B. The object's spout and handle"", 'C. The kitchen towel', 'D. The trash bin']",B,001276.png,choice,s1276
166,"['playful design', 'miniature size', 'plastic material', 'child-focused']","['figurine-like', 'on keyboard', 'small size', 'detailed appearance']","['Co-occurring Objects', 'Shape']",Which feature best indicates the identity of the object placed on the keyboard?,"[""A. The object's playful design"", 'B. The detailed appearance', ""C. The object's small size"", 'D. The keyboard']",A,001634.png,choice,s1634
167,"['rectangular shape', 'handle', 'solid structure']","['straps', 'shadows', 'angled position', 'soft surface']","['Orientation', 'Lighting and Shadows']",Which feature best indicates the identity of the object with straps and shadows on a soft surface?,"['A. The straps', ""B. The object's rectangular shape"", 'C. The shadows', 'D. The soft surface']",B,001529.png,choice,s1529
168,"['athletic design', 'laces', 'rubber sole', 'lightweight', 'mesh upper']","['near other shoes', 'tile floor', 'patterned carpet', 'dim lighting', 'clothing nearby']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object near the patterned carpet?,"['A. The nearby clothing', 'B. The patterned carpet', ""C. The object's laces"", 'D. Tile floor']",C,001794.png,choice,s1794
169,"['elongated body', 'scales', 'head pattern']","['blurry background', 'elongated shape', 'blurry effect']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object with a blurry background?,"['A. A fish tank', 'B. The blurry background', ""C. The object's scales"", 'D. The elongated shape']",C,002119.png,choice,s2119
170,"['perforated structure', 'cylindrical shape', 'open top']","['broom', 'poor lighting', 'angled view', 'dirty floor', 'nearby clutter']","['Background', 'Lighting and Shadows']",Which feature best indicates the identity of the object near the broom?,"['A. Nearby clutter', ""B. The object's perforated structure"", 'C. The dirty floor', 'D. The broom']",B,001849.png,choice,s1849
171,"['ear cups', 'headband', 'cable', 'over ear']","['handheld', 'rug', 'barcode tag', 'foot']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is handheld near the rug?,"[""A. The object's ear cups"", 'B. The rug', 'C. The foot', 'D. The barcode tag']",A,000495.png,choice,s495
172,"['glass jar', 'grape label', 'screw cap']","['near smoke detector', 'laid horizontally', 'kitchen counter', 'hand holding']","['Co-occurring Objects', 'Orientation']",Which feature best indicates the identity of the object held horizontally on the counter?,"['A. The grape label', 'B. Hand holding', 'C. Kitchen counter', 'D. Smoke detector']",A,001015.png,choice,s1015
173,"['button layout', 'infrared emitter', 'rectangular shape']","['vertical position', 'handheld', 'potatoes', 'wooden surface']","['Orientation', 'Co-occurring Objects']",Which feature best indicates the identity of the object held vertically next to the potatoes?,"[""A. The object's button layout"", 'B. The nearby potatoes', 'C. The handheld position', 'D. The wooden surface']",A,000920.png,choice,s920
174,"['detailed design', 'solid material', 'base', 'ornate features', 'specific pose']","['unusual shape', 'hand holding', 'keyboard', 'shadow', 'wooden surface']","['Orientation', 'Background']",Which feature best indicates the identity of the object being held in the hand?,"['A. The wooden surface', 'B. The shadow', ""C. The object's specific pose"", 'D. The keyboard']",C,000262.png,choice,s262
175,"['flat surface', 'rectangular shape', 'no sharp edge']","['held in hand', 'rectangular shape', 'bright lighting', 'shadow']","['Orientation', 'Lighting and Shadows']",Which feature best indicates the identity of the object held in the hand?,"['A. The way it is held', 'B. The shadow', 'C. The flat surface', 'D. The bright lighting']",C,001384.png,choice,s1384
176,"['compact size', 'under the TV', 'rectangular shape', 'black color']","['prominent TV screen', 'coffee table', 'potted plant', 'mirrored wall', 'carpeted floor']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object under the TV?,"['A. The coffee table', 'B. The potted plant', ""C. The object's compact size"", 'D. The prominent TV screen']",C,000086.png,choice,s86
177,"['flat surface', 'raised edges', 'decorative design']","['on toilet seat', 'bathroom setting', 'tiles floor', 'toilet tank']","['Background', 'Orientation']",Which feature best indicates the identity of the object placed on the toilet seat?,"['A. The toilet tank', 'B. The toilet seat', 'C. The bathroom tiles', ""D. The object's flat surface""]",D,000942.png,choice,s942
178,"['handle', 'spout', 'glass material']","['snowfall effect', 'person', 'tablecloth', 'white sheet', 'blue background']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object held by the person in the image?,"['A. White sheet', 'B. Blue background', 'C. Snowfall effect', ""D. The object's handle""]",D,002378.png,choice,s2378
179,"['open top', 'cylindrical shape', 'mesh pattern']","['bright color', 'plastic material', 'small size', 'near corner', 'shadow']","['Colorization', 'Relative Size']","Which feature best indicates the identity of the small, bright-colored object near the corner?","['A. The plastic material', ""B. The object's bright color"", ""C. The object's open top"", ""D. The object's small size""]",C,000029.png,choice,s29
180,"['cylindrical shape', 'open top', 'solid structure']","['tipped over', 'concrete floor', 'dark lighting', 'near wall']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is tipped over on the floor?,"['A. Dark lighting', 'B. The concrete floor', 'C. Near wall', ""D. The object's cylindrical shape""]",D,000290.png,choice,s290
181,"['fabric', 'folded', 'soft', 'rectangular']","['patterned rug', 'washing machine', 'kitchen cabinets', 'nearby objects']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is folded on the patterned rug?,"['A. The patterned rug', 'B. The washing machine', ""C. The object's fabric"", 'D. Kitchen cabinets']",C,000241.png,choice,s241
