,image_id,qid,question_type,question_en,answers,multiple_choice_answer,answer_type,question_kr,Unnamed: 0.2,category,l2_category,options,Unnamed: 0.1,Unnamed: 0,index
776,COCO_val2014_000000169802.jpg,169802000,how many,"Question: How many bananas is this person wearing? Answer the question using a single word or phrase. 
Answer:","[{'answer': '47+', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '40', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '39', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': '50', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'many', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'many', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '30', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'lot', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '40', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': '41', 'answer_confidence': 'yes', 'answer_id': 10}]",40,text,질문: 이 사람이 몇 개의 바나나를 입고 있나요? 한 단어나 구로 답하십시오. 답:,,,,,,,
972,COCO_val2014_000000264044.jpg,264044002,where are the,"Question: Where are the umbrellas? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'front of building', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'in front of restaurant', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'in front of store', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'outside', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'in front of brick building', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'sidewalk cafe', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'on sidewalk', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'on sidewalk', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'front', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'on street', 'answer_confidence': 'yes', 'answer_id': 10}]",on sidewalk,text,우산은 어디에 있나요? 한 단어나 한 구절로 답해 주세요. 답:,,,,,,,
811,COCO_val2014_000000126583.jpg,126583001,what does the,"Question: What does the man have in his right hand? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'towel', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'towel', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'towel', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'tennis racquet', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'towel', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'glove', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'towel', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'towel', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'towel', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'tennis racket', 'answer_confidence': 'yes', 'answer_id': 10}]",towel,text,질문: 남자가 오른손에 무엇을 들고 있나요? 한 단어나 구절로 대답하십시오.,,,,,,,
368,COCO_val2014_000000227656.jpg,227656000,is this a,"Question: Is this a train? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'no', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,text,질문: 이것이 기차입니까? 한 단어 또는 구절로 질문에 답하십시오. 답:,,,,,,,
910,COCO_val2014_000000145318.jpg,145318003,are the,"Question: Are the utensils plastic or metal? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'paper', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'plastic', 'answer_confidence': 'yes', 'answer_id': 10}]",plastic,text,질문: 식기류가 플라스틱인가요 아니면 금속인가요? 한 단어 또는 구절로 답하십시오.,,,,,,,
905,COCO_val2014_000000479762.jpg,479762007,what,"Question: What colors are these zebra stripes? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'black and white', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'black and white', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'black', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'black and white', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'black', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'black and white', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'black', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'black/white', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'black and white', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'black and white', 'answer_confidence': 'maybe', 'answer_id': 10}]",black and white,text,질문: 이 얼룩말의 줄무늬는 어떤 색인가요? 한 단어나 한 구절로 답하십시오.,,,,,,,
290,COCO_val2014_000000117914.jpg,117914001,is the,"Question: Is the window in the bathroom? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,text,욕실에 창문이 있나요? 한 단어나 구절로 대답하십시오.,,,,,,,
755,COCO_val2014_000000195862.jpg,195862016,is the,"Question: Is the horse giving you an evil look? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",no,text,질문: 말이 당신에게 악의 있는 눈빛을 주고 있나요? 한 단어나 구로 답하십시오. 답:,,,,,,,
821,COCO_val2014_000000282847.jpg,282847003,is this,"Question: IS this outside? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,text,이것이 밖인가요?,,,,,,,
93,COCO_val2014_000000469777.jpg,469777002,are the,"Question: Are the elephant in the wild? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 10}]",yes,text,질문: 야생에 코끼리가 있나요? 한 단어나 구절로 질문에 답하십시오. 답:,,,,,,,
754,COCO_val2014_000000280530.jpg,280530005,is there a,"Question: Is there a clock on the left side of the tower? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,text,타워의 왼쪽 측면에 시계가 있나요?,,,,,,,
901,COCO_val2014_000000477805.jpg,477805035,is this,"Question: Is this man wearing all black? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 10}]",yes,text,질문: 이 남자는 전부 검은색 옷을 입고 있나요? 한 단어 또는 한 구절로 대답하십시오.,,,,,,,
381,COCO_val2014_000000289630.jpg,289630003,what does the,"Question: What does the graffiti say? Answer the question using a single word or phrase. 
Answer:","[{'answer': ""it's not readable"", 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'akoba', 'answer_confidence': 'no', 'answer_id': 2}, {'answer': 'ariba', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'ngoba', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'akoba', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'noob', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'nkoba', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'nkoba', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'aruba', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'nkoba', 'answer_confidence': 'no', 'answer_id': 10}]",nkoba,text,질문: 그래피티에 무엇이 적혀 있나요? 한 단어나 구절로 답하십시오.,,,,,,,
34,COCO_val2014_000000434089.jpg,434089002,is this an,"Question: Is this an old goat? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,text,질문: 이것은 늙은 염소인가요? 한 단어나 구절로 대답하십시오.,,,,,,,
485,COCO_val2014_000000332300.jpg,332300001,is the,"Question: Is the clock embedded in the building? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,text,질문: 건물 안에 시계가 내장되어 있나요? 질문에 한 단어 또는 한 구절로 답하십시오. 답:,,,,,,,
733,COCO_val2014_000000085826.jpg,85826002,is the,"Question: Is the baby sleeping? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",no,text,질문: 아기가 자고 있나요? 한 단어나 구절로 답하십시오.,,,,,,,
250,COCO_val2014_000000264044.jpg,264044001,is this an,"Question: Is this an Avenue or a street? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'avenue', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'avenue', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'avenue', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'avenue', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'avenue', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'street', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'avenue', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'avenue', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'avenue', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'avenue', 'answer_confidence': 'yes', 'answer_id': 10}]",avenue,text,"질문: 이것이 대로(Avenue)인가요, 아니면 거리(Street)인가요? 한 단어나 구로 답하십시오. 답:",,,,,,,
424,COCO_val2014_000000397303.jpg,397303000,where are the,"Question: Where are the chairs? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'outside', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'ground', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'alongside tables', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'market', 'answer_confidence': 'no', 'answer_id': 4}, {'answer': 'behind table', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'at tables', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'on ground', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'behind people', 'answer_confidence': 'no', 'answer_id': 8}, {'answer': 'outside', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'around tables', 'answer_confidence': 'yes', 'answer_id': 10}]",outside,text,질문: 의자들은 어디에 있나요? 한 단어나 구절로 질문에 답하십시오. 답:,,,,,,,
292,COCO_val2014_000000387661.jpg,387661004,what number is,"Question: What number is on the marker? Answer the question using a single word or phrase. 
Answer:","[{'answer': '147', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '147', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '147', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '147', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '147', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '147', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '147', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '147', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '147', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '147', 'answer_confidence': 'yes', 'answer_id': 10}]",147,text,질문: 마커에 적힌 숫자는 무엇입니까? 한 단어나 구로 대답하십시오. 대답:,,,,,,,
607,COCO_val2014_000000234779.jpg,234779002,is this,"Question: Is this bread toasted or fresh? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'toasted', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': 'toasted', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'toasted', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'toasted', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'fresh', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'toasted', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'toasted', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'toasted', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'toasted', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'toasted', 'answer_confidence': 'yes', 'answer_id': 10}]",toasted,text,"질문: 이 빵이 토스트되었나요, 아니면 신선한가요? 한 단어 또는 한 구절로 답하십시오.",,,,,,,
656,COCO_val2014_000000322955.jpg,322955002,is it,"Question: Is it daylight? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'twilight', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,text,지금 낮인가요?,,,,,,,
787,COCO_val2014_000000574280.jpg,574280002,what is,"Question: What is behind the bikes? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'bus', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'bus', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'bus', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'bus', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'bus', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'bus', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'bus', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'bus', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'bus', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'bus', 'answer_confidence': 'yes', 'answer_id': 10}]",bus,text,질문: 자전거들 뒤에 무엇이 있나요? 한 단어나 한 구절로 질문에 답하세요. 답:,,,,,,,
540,COCO_val2014_000000232610.jpg,232610007,why is the,"Question: Why is the woman's mouth open? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'smiling', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'talking', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'talking on phone', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'smiling', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'smiling', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': ""she's smiling"", 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'talking', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",smiling,text,질문: 왜 여성의 입이 벌어져 있나요? 한 단어나 구절로 답하십시오.,,,,,,,
474,COCO_val2014_000000528225.jpg,528225028,is this,"Question: Is this cow in a field? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",yes,text,질문: 이 소가 들판에 있나요? 한 단어나 구절로 대답하십시오.,,,,,,,
207,COCO_val2014_000000387482.jpg,387482002,what is,"Question: What is hanging on the wall? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'mirror', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': 'mirror', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'mirror', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'mirror', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'mirror', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'mirror', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'mirror', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'mirror', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'mirror', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'mirror', 'answer_confidence': 'yes', 'answer_id': 10}]",mirror,text,질문: 벽에 무엇이 걸려 있나요? 한 단어나 구절로 답하십시오.,,,,,,,
152,COCO_val2014_000000052835.jpg,52835005,what color is the,"Question: What color is the packing box? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'purple', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'purple', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'blue', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'blue/purple', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 10}]",blue,text,질문: 포장 상자의 색상은 무엇입니까? 한 단어 또는 한 구절로 질문에 답하십시오. 답:,,,,,,,
580,COCO_val2014_000000321846.jpg,321846005,how many,"Question: How many chocolate frosted doughnuts do you see? Answer the question using a single word or phrase. 
Answer:","[{'answer': '1', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '0', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '1', 'answer_confidence': 'no', 'answer_id': 6}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '1', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '1', 'answer_confidence': 'maybe', 'answer_id': 10}]",1,text,몇 개의 초콜릿 프로스팅 도넛이 보이나요? 한 단어나 한 구절로 대답하십시오.,,,,,,,
134,COCO_val2014_000000076632.jpg,76632002,is this,"Question: Is this boy a good pitcher? Answer the question using a single word or phrase. 
Answer:","[{'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'unknown', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 10}]",yes,text,질문: 이 소년은 좋은 투수인가요? 한 단어나 구절로 답하십시오.,,,,,,,
732,COCO_val2014_000000334915.jpg,334915004,how many people are in,"Question: How many people are in this photo? Answer the question using a single word or phrase. 
Answer:","[{'answer': '3', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '4', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': '3', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': '5', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '7', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '3', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 10}]",3,text,질문: 이 사진에는 몇 명이 있습니까? 한 단어나 구로 답하십시오.,,,,,,,
